time, value
0.007, -1.899999976
0.047, -27.53999901
0.087, -70.20999908
0.127, -52.54999924
0.167, 9.590000153
0.207, 25.75
0.247, -5.269999981
0.287, -26.14999962
0.327, 17.79999924
0.367, 65.84999847
0.407, 11.05999947
0.447, 30.38999939
0.487, 46.61000061
0.527, 17.46999931
0.567, 26.42000008
0.607, 9.399999619
0.647, -14.54999924
0.687, -12.90999985
0.727, -5.639999866
0.767, 1.399999976
0.807, 0.7299999595
0.847, 0.3400000036
0.887, 0.1299999952
0.927, -0.7599999905
0.967, -2.470000029
1.007, -2.289999962
1.047, -6.869999886
1.087, -6.069999695
1.127, -1.829999924
1.167, -1.659999967
1.207, 9.880000114
1.247, 18.52000046
1.287, 18.42000008
1.327, 17.81999969
1.367, 14.25999928
1.407, 10.98999977
1.447, 4.569999695
1.487, -3.819999933
1.527, -6.109999657
1.567, -5.679999828
1.607, -4.96999979
1.647, -1.079999924
1.687, -0.3899999857
1.727, 4.110000134
1.767, 4.589999676
1.807, 2.019999981
1.847, -1.139999986
1.887, -4.46999979
1.927, -4.610000134
1.967, -3.75
2.007, 0.9399999976
2.047, -0.6599999666
2.087, 0.2299999893
2.127, -5.799999714
2.167, -6.579999924
2.207, 0.8100000024
2.247, 0.5600000024
2.287, 2.389999866
2.327, 2.299999952
2.367, 3.099999905
2.407, 0.9599999785
2.447, 0.3700000048
2.487, 0.1799999923
2.527, 0.8799999952
2.567, 2.549999952
2.607, 4.25
2.647, 3.309999943
2.687, 3.429999828
2.727, -0.1799999923
2.767, -1.779999971
2.807, -3.75999999
2.847, -9.979999542
2.887, -7.049999714
2.927, -1.870000005
2.967, 0.3700000048
3.007, 2.25999999
3.047, 5.019999981
3.087, 4.230000019
3.127, 2.069999933
3.167, 0.5
3.207, -0.1799999923
3.247, -1.75999999
3.287, -3.159999847
3.327, -2.429999828
3.367, -3.559999943
3.407, -0.6100000143
3.447, 1.409999967
3.487, -0.8100000024
3.527, -1.189999938
3.567, 1.529999971
3.607, -1.629999995
3.647, -3.220000029
3.687, -3.379999876
3.727, -3.079999924
3.767, -1.659999967
3.807, -0.04999999702
3.847, -1
3.887, 1.709999919
3.927, -2.109999895
3.967, -1.769999981
4.007, 1.649999976
4.047, -1.599999905
4.087, -2.619999886
4.127, -1.309999943
4.167, -0.7799999714
4.207, -5.789999962
4.247, 2.529999971
4.287, 4.369999886
4.327, 3.25
4.367, 3.129999876
4.407, 0.1700000018
4.447, -2.75
4.487, -3.9599998
4.527, -3.109999895
4.567, -2.460000038
4.607, 1.75
4.647, 0.1299999952
4.687, 2.849999905
4.727, 0.1400000006
4.767, -1.209999919
4.807, -1.360000014
4.847, -2.829999924
4.887, -4.909999847
4.927, -8.069999695
4.967, -2.470000029
5.007, -7.5
5.047, -2.720000029
5.087, -0.8599999547
5.127, 12.44999981
5.167, -14.53999996
5.207, -3.00999999
5.247, -5.199999809
5.287, -6.230000019
5.327, 18.75
5.367, 17.97999954
5.407, 9.880000114
5.447, 12.00999928
5.487, 4.769999981
5.527, 0.3999999762
5.567, -0.7400000095
5.607, 0.02999999933
5.647, 6.159999847
5.687, -2.230000019
5.727, 9.019999504
5.767, 23
5.807, -4.019999981
5.847, 21.77999878
5.887, 20.07999992
5.927, -5.960000038
5.967, -20.38999939
6.007, -16.36999893
6.047, -0.7699999809
6.087, 16.93000031
6.127, 3.74000001
6.167, 15.42000008
6.206, 15.55999947
6.246, 10.96999931
6.286, 7.869999886
6.326, 7.649999619
6.366, 10.46000004
6.406, 8.210000038
6.446, 10.96999931
6.486, 2.299999952
6.526, 4.869999886
6.566, 7.529999733
6.606, -25.97999954
6.646, -16.90999985
6.686, 20.11999893
6.726, -2.069999933
6.766, 4.119999886
6.806, 1.029999971
6.846, 2.519999981
6.886, 5.159999847
6.926, 11.90999985
6.966, 19.14999962
7.006, 7.489999771
7.046, -4.489999771
7.086, 1.120000005
7.126, -5.859999657
7.166, -6.409999847
7.206, 3.319999933
7.246, 7.460000038
7.286, 0.3199999928
7.326, 4.150000095
7.366, 0.6399999857
7.406, -0.6899999976
7.446, -0.2999999821
7.486, 4.420000076
7.526, 2.599999905
7.566, 4.049999714
7.606, 15.65999985
7.646, 7.980000019
7.686, -1.039999962
7.726, -2.159999847
7.766, -2.450000048
7.806, -1.230000019
7.846, -8.489999771
7.886, -5.989999771
7.926, -0.8899999857
7.966, -2.309999943
8.006, -0.7999999523
8.046, 0.6800000072
8.086, 3.730000019
8.126, 5.039999962
8.166, 3.939999819
8.206, 0.2399999946
8.246, -6.049999714
8.286, -4.329999924
8.326, -2.700000048
8.366, -1.179999948
8.406, 0.4799999893
8.446, 0
8.486, -2.139999866
8.526, -3.389999866
8.566, -2.659999847
8.606, -3.019999981
8.646, -0.02999999933
8.686, -2.659999847
8.726, 4.009999752
8.766, 5.130000114
8.806, 8.920000076
8.846, 8.349999428
8.886, 12.63000011
8.926, 22.85000038
8.966, 16.48999977
9.006, 6.269999981
9.046, 10.43999958
9.086, 3.519999981
9.126, 2.980000019
9.166, -1.039999962
9.206, 5.230000019
9.246, 9.739999771
9.286, -1.069999933
9.326, 2.220000029
9.366, -3.629999876
9.406, -7.289999962
9.446, -10.28999996
9.486, -20.07999992
9.526, -13.71999931
9.566, -6.569999695
9.606, -9.529999733
9.646, -14.78999996
9.686, -21.59000015
9.726, -15.98999977
9.766, -0.6100000143
9.806, 1.939999938
9.846, 9.510000229
9.886, 11.90999985
9.926, 4.089999676
9.966, -0.01999999955
10.006, -6.21999979
10.046, -7
10.086, -23.95999908
10.126, -27.57999992
10.166, -29.6799984
10.206, -35.50999832
10.246, -19.1099987
10.286, -11.09999943
10.326, 4.440000057
10.366, -8.909999847
10.406, -7.639999866
10.446, -0.9799999595
10.486, 10.2699995
10.526, 2.470000029
10.566, 32.09999847
10.606, 21.44999886
10.646, 17.35000038
10.686, 5.259999752
10.726, 1.230000019
10.766, 0.7799999714
10.806, 2.899999857
10.846, 5.460000038
10.886, 12.36999989
10.926, 10.01000023
10.966, 2.99000001
11.006, 3.809999943
11.046, 0.7799999714
11.086, 0.3899999857
11.125, 0.4799999893
11.165, 5.409999847
11.205, 4.809999943
11.245, 8.380000114
11.285, 10.84999943
11.325, 7.609999657
11.365, 3.99000001
11.405, 4.599999905
11.445, 4.150000095
11.485, -0.5
11.525, 1.370000005
11.565, 0.8100000024
11.605, 2.569999933
11.645, 3.75999999
11.685, 4
11.725, 5.309999943
11.765, 2.74000001
11.805, 0.6399999857
11.845, 0.5999999642
11.885, 1.409999967
11.925, 0.8100000024
11.965, 0.4499999881
12.005, -1.929999948
12.045, -4.650000095
12.085, -1.209999919
12.125, -0.7099999785
12.165, -0.7799999714
12.205, 0.4599999785
12.245, 1.839999914
12.285, 1.599999905
12.325, 1.860000014
12.365, 2.049999952
12.405, 2.119999886
12.445, 1.370000005
12.485, 1.529999971
12.525, 0.1799999923
12.565, -0.7699999809
12.605, 1.129999995
12.645, -0.2699999809
12.685, -3.389999866
12.725, -3.429999828
