time, value
0.008, 10.80000019
0.048, 14.56999969
0.088, 73.61999512
0.128, 29.21999931
0.168, -20.25
0.208, -47.2899971
0.248, -10.28999996
0.288, 31.8599987
0.327, 12.65999985
0.368, -72.47999573
0.407, 0.1400000006
0.447, -18.63999939
0.487, 0.5099999905
0.527, 18.93000031
0.567, 26.53999901
0.607, 29.18999863
0.647, 25.82999992
0.687, 25.03999901
0.727, 8.519999504
0.767, -7.119999886
0.807, -2.339999914
0.847, 1.079999924
0.887, -8.569999695
0.927, -7.569999695
0.967, -1.179999948
1.007, 0.2199999988
1.047, 12.61999989
1.087, 12.72999954
1.127, 11.67999935
1.167, 14.28999996
1.207, -2.079999924
1.247, 0.9399999976
1.287, -10.61999989
1.327, -29.04999924
1.367, -28.21999931
1.407, -21.18000031
1.447, -14.57999992
1.487, -3.549999952
1.527, 0.6499999762
1.567, 0.3700000048
1.607, 2.079999924
1.647, 1.169999957
1.687, -4.559999943
1.727, -10.85999966
1.767, -9.130000114
1.807, -6.150000095
1.847, -2.700000048
1.887, -0.2099999934
1.927, 4.409999847
1.967, 7.480000019
2.007, 7.96999979
2.047, 2.960000038
2.087, -1.110000014
2.127, 6.649999619
2.167, 8.309999466
2.207, -5.549999714
2.247, -1.889999986
2.287, -5.639999866
2.327, -7.829999924
2.367, -2.899999857
2.407, -0.5099999905
2.447, 0.5
2.487, 1.289999962
2.527, 3.179999828
2.567, 2.919999838
2.607, 0.1899999976
2.647, 1.620000005
2.687, 2.299999952
2.727, 2.190000057
2.767, 6.839999676
2.807, 8.849999428
2.847, 7.769999981
2.887, 3.939999819
2.927, -0.2699999809
2.967, -3.829999924
3.007, -0.4499999881
3.047, -1.539999962
3.087, -1.769999981
3.127, -0.1700000018
3.167, 1.5
3.207, 3.519999981
3.247, 3.99000001
3.287, 4.900000095
3.327, 2.159999847
3.367, 5.170000076
3.407, 2.399999857
3.447, -0.6200000048
3.487, -1.75999999
3.527, -1.809999943
3.567, -0.4299999774
3.607, 0.5
3.647, 1.699999928
3.687, 3.859999895
3.727, 2.99000001
3.767, 0.8399999738
3.807, -0.1499999911
3.847, 2.399999857
3.887, 3.449999809
3.927, 7.339999676
3.967, 5.21999979
4.007, 2.299999952
4.047, 5.349999905
4.087, 5.650000095
4.127, 0.9599999785
4.167, -2.24000001
4.207, 7.429999828
4.247, -1.769999981
4.287, -0.09999999404
4.327, -1.339999914
4.367, -8.579999924
4.407, -9.929999352
4.447, 0.5399999619
4.487, 12.0199995
4.527, 5.639999866
4.567, -0.5199999809
4.607, 1.779999971
4.647, -9.729999542
4.687, -3.9599998
4.727, -0.8999999762
4.767, -0.8199999928
4.807, 2.789999962
4.847, 5.929999828
4.887, 2.609999895
4.927, 1.659999967
4.967, -2.440000057
5.007, 0.3199999928
5.047, 9.420000076
5.087, 10.82999992
5.127, -9.340000153
5.167, -4.110000134
5.207, 8.489999771
5.247, 7.139999866
5.287, 4.5
5.327, -8.319999695
5.367, -28.89999962
5.407, 1.269999981
5.447, 1.220000029
5.487, 6.46999979
5.527, 14.39999962
5.567, 8.809999466
5.607, -10.76000023
5.647, -1.589999914
5.687, -9.739999771
5.727, -2.069999933
5.767, 7.629999638
5.807, 71.81999969
5.847, 34.54000092
5.887, -9.679999352
5.927, -5.039999962
5.967, 17.27000046
6.007, -14.46000004
6.047, 25.88999939
6.087, -8.559999466
6.127, -36.54999924
6.167, 8.019999504
6.207, -2.180000067
6.247, 4.119999886
6.287, 6.21999979
6.327, 1.699999928
6.367, 6.319999695
6.407, 10.23999977
6.447, 12.64999962
6.487, 9.739999771
6.527, 34.64999771
6.567, 22.92000008
6.607, -3.949999809
6.647, 2.549999952
6.687, 22.97999954
6.727, 30.59999847
6.767, 19.18999863
6.807, 11.88999939
6.847, -3.699999809
6.887, -9.649999619
6.927, 3.079999924
6.967, -15.40999985
7.006, 13.42000008
7.046, 27.19999886
7.086, 29
7.126, -6.639999866
7.166, 0.6599999666
7.206, -2.579999924
7.246, 9.550000191
7.286, -4.170000076
7.326, 6.440000057
7.366, 5.389999866
7.406, 3.5
7.446, -3.619999886
7.486, -5.650000095
7.526, 2.049999952
7.566, 7.829999924
7.606, -5.009999752
7.646, -9.979999542
7.686, 3.659999847
7.726, -2.089999914
7.766, 4.329999924
7.806, 4.809999943
7.846, -4.659999847
7.886, -0.6299999952
7.926, -6.819999695
7.966, -1.5
8.006, 0.4199999869
8.046, 0.4299999774
8.086, -3.409999847
8.126, -10.63000011
8.166, -1.24000001
8.206, -0.07999999821
8.246, 7.329999924
8.286, 6.179999828
8.326, 1.360000014
8.366, 0.5899999738
8.406, 2.75999999
8.446, 2.799999952
8.486, -2.589999914
8.526, -1.439999938
8.566, -1.849999905
8.606, 2.519999981
8.646, -2.799999952
8.686, -2.899999857
8.726, 2.029999971
8.766, -3.059999943
8.806, 1.159999967
8.846, 5.460000038
8.886, 16.02000046
8.926, 10.43999958
8.966, 7.409999847
9.006, 10.96999931
9.046, -5.420000076
9.086, -2.679999828
9.126, -16.55999947
9.166, -17.05999947
9.206, -8.239999771
9.246, -14.82999992
9.286, -0.3999999762
9.326, 1
9.366, -10.96999931
9.406, -6.009999752
9.446, -5.670000076
9.486, -0.9300000072
9.526, 2.049999952
9.566, -10.97999954
9.606, -5.289999962
9.646, 11.05000019
9.686, 5.769999981
9.726, -11.19999981
9.766, -14.05999947
9.806, -12.07999992
9.846, -4.349999905
9.886, -28.82999992
9.926, -35.27000046
9.966, -32.07999802
10.006, 17.19000053
10.046, 20.1099987
10.086, 12.23999977
10.126, 3.579999924
10.166, -19.56999969
10.206, -43.79999924
10.246, -35.45999908
10.286, 6.139999866
10.326, 13.57999992
10.366, 7.889999866
10.406, 19.75
10.446, 0.7400000095
10.486, -19.21999931
10.526, 7.629999638
10.566, -16.18000031
10.606, -5.420000076
10.646, 1.120000005
10.686, -0.1999999881
10.726, 4.509999752
10.766, 3.919999838
10.806, -1.159999967
10.846, -1.949999928
10.886, -6.230000019
10.926, -1.429999948
10.966, -2.789999962
11.006, -3.439999819
11.046, -0.3700000048
11.086, 2.659999847
11.126, 1.189999938
11.166, -2.169999838
11.206, -2.440000057
11.246, -9.849999428
11.286, -5.989999771
11.326, -2.74000001
11.366, -1.839999914
11.406, -4.529999733
11.446, -2.74000001
11.486, -1.019999981
11.526, -0.9199999571
11.566, 0.6299999952
11.606, 0.4599999785
11.646, -0.25
11.685, -0.5600000024
11.725, 1.079999924
11.765, -0.6499999762
11.805, 1.049999952
11.845, 2.859999895
