time, value
0.038, 17.078125
0.108, 16.09375
0.188, 17.375
0.258, 16.53125
0.338, 16.234375
0.408, 17.484375
0.488, 15.8828125
0.558, 16.390625
0.638, 17.65625
0.708, 15.8125
0.788, 15.90625
0.858, 17.421875
0.938, 18.28125
1.008, 16.390625
1.088, 17.9375
1.158, 19.703125
1.238, 16.28125
1.308, 16.84375
1.388, 18
1.458, 18.765625
1.538, 17.078125
1.608, 18.0625
1.688, 16.765625
1.758, 18.203125
1.838, 18.3125
1.908, 16.6875
1.988, 16.046875
2.058, 18.6875
2.138, 16.59375
2.208, 17.765625
2.288, 17.03125
2.358, 16.703125
2.438, 17.125
2.508, 18.296875
2.588, 17.390625
2.658, 17.453125
2.738, 17
2.808, 17.8125
2.888, 16.515625
2.958, 15.0390625
3.038, 16.125
3.108, 17.25
3.188, 16.0625
3.258, 17.234375
3.338, 17.625
3.408, 17.296875
3.488, 18.4375
3.558, 17.15625
3.638, 19.046875
3.708, 15.984375
3.788, 16.5
3.858, 16.640625
3.938, 16.421875
4.008, 14.9296875
4.088, 16.65625
4.158, 17.890625
4.238, 18.59375
4.308, 16.984375
4.388, 16.984375
4.458, 17.375
4.538, 16.453125
4.608, 18.609375
4.688, 19.015625
4.758, 17.1875
4.838, 17.34375
4.908, 16.5625
4.988, 17.078125
5.058, 17.046875
5.138, 16.1875
5.208, 18.609375
5.288, 16.1875
5.358, 16.65625
5.438, 17.15625
5.508, 17.890625
5.588, 15.7578125
5.658, 18.109375
5.738, 16.46875
5.808, 16.640625
5.888, 18.3125
5.958, 18.484375
6.038, 17.046875
6.108, 16.203125
6.188, 17.6875
6.258, 17.921875
6.338, 17.890625
6.408, 17.546875
6.488, 16.171875
6.558, 18.671875
6.638, 16.296875
6.708, 17.859375
6.788, 17.859375
6.858, 16.796875
6.938, 17.609375
7.008, 16.9375
7.088, 16.1875
7.158, 16.65625
7.238, 17.078125
7.308, 18.078125
7.388, 15.3828125
7.458, 17.515625
7.538, 15.6953125
7.608, 15.671875
7.688, 15.7578125
7.758, 17.984375
7.838, 16.03125
7.908, 17.90625
7.988, 17.671875
8.058, 17.734375
8.138, 17.40625
8.208, 15.8046875
8.288, 16.625
8.358, 17.875
8.438, 18.765625
8.508, 18.28125
8.588, 16.765625
8.658, 16.515625
8.738, 17.296875
8.808, 15.578125
8.888, 17.9375
8.958, 16.203125
9.038, 15.9453125
9.108, 15
9.188, 17.703125
9.258, 17.4375
9.338, 15.515625
9.408, 15.9296875
9.488, 17.96875
9.558, 16.265625
9.638, 17.96875
9.708, 17.625
9.788, 17.484375
9.858, 17.5
9.938, 16.5
10.008, 18.140625
10.088, 17.890625
10.158, 17.1875
10.238, 15.359375
10.308, 17.15625
10.388, 17.0625
10.458, 16.765625
10.538, 16.703125
10.608, 17.375
10.688, 16.40625
10.758, 16.421875
10.838, 16.421875
10.908, 17.1875
10.988, 18.109375
11.058, 17.4375
11.138, 16.859375
11.208, 16.6875
11.288, 17.40625
11.358, 16.046875
11.438, 17.96875
11.508, 16.546875
11.588, 16.546875
11.658, 17.46875
11.738, 17.4375
11.808, 17.5
11.888, 17.703125
11.958, 17.078125
12.038, 18.625
12.108, 18.03125
12.188, 16.15625
12.258, 16.984375
12.338, 18.140625
12.408, 17.0625
12.488, 17.265625
12.558, 16.59375
12.638, 18.09375
12.708, 14.8671875
12.788, 17.09375
12.858, 17.71875
12.938, 16.328125
13.008, 18.875
