time, value
0.018, 0.5037398338
0.058, 0.500680685
0.098, 0.5098581314
0.138, 0.515976429
0.178, 0.5027201176
0.218, 0.4945623875
0.258, 0.4864046574
0.297, 0.4782469273
0.337, 0.4935426712
0.377, 0.515976429
0.417, 0.5047595501
0.457, 0.4731483459
0.497, 0.49660182
0.537, 0.4945623875
0.577, 0.4894638062
0.617, 0.4996609688
0.657, 0.5047595501
0.697, 0.5027201176
0.737, 0.4935426712
0.777, 0.4894638062
0.817, 0.4915032387
0.857, 0.4945623875
0.897, 0.4904835224
0.937, 0.4945623875
0.977, 0.5017004013
1.017, 0.5067989826
1.057, 0.5129172802
1.096, 0.4904835224
1.136, 0.4762074947
1.176, 0.4955821037
1.216, 0.5067989826
1.256, 0.5027201176
1.296, 0.5017004013
1.336, 0.49660182
1.376, 0.4996609688
1.416, 0.5017004013
1.456, 0.5047595501
1.496, 0.5037398338
1.536, 0.4996609688
1.576, 0.4986412525
1.616, 0.5047595501
1.656, 0.4976215363
1.696, 0.5088384151
1.736, 0.4945623875
1.776, 0.4996609688
1.816, 0.4996609688
1.856, 0.4986412525
1.895, 0.4945623875
1.935, 0.4986412525
1.975, 0.4925229549
2.015, 0.4915032387
2.055, 0.4976215363
2.095, 0.5088384151
2.135, 0.515976429
2.175, 0.500680685
2.215, 0.4955821037
2.255, 0.4935426712
2.295, 0.4955821037
2.335, 0.5027201176
2.375, 0.4986412525
2.415, 0.4894638062
2.455, 0.4874243736
2.495, 0.4874243736
2.535, 0.5017004013
2.575, 0.4935426712
2.615, 0.5088384151
2.655, 0.5180158615
2.695, 0.5047595501
2.734, 0.4833455086
2.774, 0.4751877785
2.814, 0.4925229549
2.854, 0.5108778477
2.894, 0.5088384151
2.934, 0.5027201176
2.974, 0.4925229549
3.014, 0.4884440899
3.054, 0.4925229549
3.094, 0.4660103321
3.134, 0.5088384151
3.174, 0.515976429
3.214, 0.5057792664
3.254, 0.4955821037
3.294, 0.4874243736
3.334, 0.4874243736
3.374, 0.4843652248
3.414, 0.4874243736
3.454, 0.4925229549
3.494, 0.4935426712
3.534, 0.4986412525
3.574, 0.4945623875
3.613, 0.4874243736
3.653, 0.4894638062
3.693, 0.4904835224
3.733, 0.4915032387
3.773, 0.4864046574
3.813, 0.4874243736
3.853, 0.4864046574
3.893, 0.4925229549
3.933, 0.4874243736
3.973, 0.4843652248
4.013, 0.4843652248
4.053, 0.4925229549
4.093, 0.4955821037
4.133, 0.4864046574
4.173, 0.4904835224
4.213, 0.4915032387
4.253, 0.4904835224
4.293, 0.4925229549
4.333, 0.4864046574
4.373, 0.4731483459
4.412, 0.477227211
4.452, 0.4864046574
4.492, 0.4915032387
