time, value
0.018, -0.5500000119
0.058, -0.6699999571
0.098, -0.4799999893
0.138, -0.5699999928
0.178, -0.1400000006
0.218, 0.2800000012
0.258, 0.1700000018
0.298, -0.3400000036
0.338, -0.6800000072
0.377, 0.2299999893
0.417, 0.25
0.457, -0.009999999776
0.497, -0.009999999776
0.537, 0.09999999404
0.577, 0.08999999613
0.617, -0.25
0.657, -0.1899999976
0.697, -0.03999999911
0.737, -0.09999999404
0.777, -0.009999999776
0.817, -0.1400000006
0.857, -0.1400000006
0.897, -0.05999999866
0.937, 0.02999999933
0.977, -0.09999999404
1.017, -0.1299999952
1.057, 0.7999999523
1.097, 1.079999924
1.137, 0.07999999821
1.176, -0.04999999702
1.216, -0.1599999964
1.256, -0.0700000003
1.296, 0
1.336, -0.0700000003
1.376, -0.1599999964
1.416, -0.1299999952
1.456, -0.1799999923
1.496, 0.009999999776
1.536, -0.07999999821
1.576, 0
1.616, 0.01999999955
1.656, -0.1700000018
1.696, -0.02999999933
1.736, 0.03999999911
1.776, 0.1099999994
1.816, -0.08999999613
1.856, -0.02999999933
1.896, -0.009999999776
1.936, -0.01999999955
1.975, -0.1599999964
2.015, -0.07999999821
2.055, -0.09999999404
2.095, -0.1400000006
2.135, 0.1099999994
2.175, 0.07999999821
2.215, 0.03999999911
2.255, -0.0700000003
2.295, -0.08999999613
2.335, -0.1999999881
2.375, 0
2.415, 0.05999999866
2.455, -0.1799999923
2.495, -0.09999999404
2.535, -0.07999999821
2.575, 0
2.615, -0.0700000003
2.655, -0.1799999923
2.695, 0.1400000006
2.735, 0.1899999976
2.775, 0.08999999613
2.814, -0.3599999845
2.854, -0.1799999923
2.894, 0.02999999933
2.934, -0.1099999994
2.974, 0.009999999776
3.014, -0.1400000006
3.054, -0.2099999934
3.094, 0.05999999866
3.134, -0.3899999857
3.174, -0.7099999785
3.214, -0.07999999821
3.254, 0.0700000003
3.294, -0.0700000003
3.334, 0.009999999776
3.374, -0.07999999821
3.414, -0.009999999776
3.454, -0.02999999933
3.494, 0.03999999911
3.534, -0.1700000018
3.574, -0.07999999821
3.614, -0.08999999613
3.654, -0.03999999911
3.693, -0.1499999911
3.733, -0.0700000003
3.773, -0.009999999776
3.813, -0.08999999613
3.853, -0.1799999923
3.893, -0.0700000003
3.933, 0.009999999776
3.973, 0.02999999933
4.013, 0
4.053, 0.07999999821
4.093, 0
4.133, 0
4.173, -0.02999999933
4.213, -0.2800000012
4.253, -0.2099999934
4.293, -0.1499999911
4.333, 0.03999999911
4.373, 0
4.413, 0.03999999911
4.453, -0.1899999976
4.492, 0
4.532, 0.1700000018
4.572, 0.09999999404
4.612, 0
4.652, 0.02999999933
4.692, -0.1799999923
4.732, -0.08999999613
4.772, 0.0700000003
4.812, 0.1099999994
4.852, -0.09999999404
4.892, -0.08999999613
4.932, 0.0700000003
4.972, 0.09999999404
5.012, -0.1400000006
5.052, -0.1299999952
5.092, -0.1700000018
5.132, -0.08999999613
5.172, -0.1400000006
5.211, 0
5.251, 0.05999999866
5.291, 0.5999999642
5.331, 2.559999943
5.371, 3.75999999
5.411, 1.519999981
5.451, 0.08999999613
5.491, 1.399999976
5.531, 1.569999933
5.571, 2.139999866
5.611, 3.079999924
5.651, 3.859999895
5.691, 6.309999943
5.731, 5.389999866
5.771, 5.159999847
5.811, 4.710000038
5.851, 6.099999905
5.89, 5.639999866
5.93, 4.989999771
5.97, 4.46999979
6.01, 5.119999886
6.05, 4.130000114
6.09, 4.059999943
6.13, 4.900000095
6.17, 5.239999771
6.21, 5.980000019
6.25, 5.679999828
6.29, 3.74000001
6.33, 3.99000001
6.37, 4.549999714
6.41, 4.289999962
6.45, 5.269999981
6.49, 4.360000134
6.53, 4.440000057
6.57, 4.849999905
6.609, 4.009999752
6.649, 4.489999771
6.689, 4.710000038
6.729, 6.129999638
6.769, 6.980000019
6.809, 5.369999886
6.849, 1.829999924
6.889, 1.909999967
6.929, 2.589999914
6.969, 3.029999971
7.009, 4.029999733
7.049, 5.25
7.089, 5.929999828
7.129, 6.579999924
7.169, 8.220000267
7.209, 6.259999752
7.249, 3.309999943
7.288, 2.369999886
7.328, 1.829999924
7.368, 1.75
7.408, 2.289999962
7.448, 1.25999999
7.488, 0.5799999833
7.528, 0.9899999499
7.568, 1.49000001
7.608, 0.6599999666
7.648, 0
7.688, -0.4499999881
7.728, -0.01999999955
7.768, 0.3799999952
7.808, 0.4099999964
7.848, 0.2800000012
7.888, 0.75
7.928, 1.709999919
7.968, 2.230000019
8.008, 1.439999938
8.048, 0.8599999547
8.087, -0.1099999994
8.127, -0.5399999619
8.167, -0.5600000024
8.207, -0.5699999928
8.247, -0.2999999821
8.287, 0.8499999642
8.327, 1.029999971
8.367, 0.7699999809
8.407, 0.1899999976
8.447, 0.009999999776
8.487, 0.1499999911
8.527, -0.3299999833
8.567, -0.4599999785
8.607, 0.1499999911
8.647, -0.02999999933
8.687, -0.4499999881
8.727, -0.6699999571
8.767, -0.6899999976
8.807, -0.6200000048
8.847, -0.8399999738
8.886, -0.6499999762
8.926, -1.49000001
8.966, -2.299999952
9.006, -3.789999962
9.046, -5.099999905
9.086, -5.069999695
9.126, -4.980000019
9.166, -3.629999876
9.206, -3.579999924
9.246, -4.079999924
9.286, -5.130000114
9.326, -6.239999771
9.366, -8.13999939
9.406, -8.019999504
9.446, -8.539999962
9.486, -9.819999695
9.526, -9.739999771
9.566, -8.510000229
9.606, -9.510000229
9.645, -9.579999924
9.685, -10.46999931
9.725, -10.64999962
9.765, -8.170000076
9.805, -7.809999943
9.845, -6.960000038
9.885, -7.059999943
9.925, -7.649999619
9.965, -7.659999847
10.005, -6.049999714
10.045, -5.690000057
10.085, -5.929999828
10.125, -4.539999962
10.165, -3.809999943
10.205, -3.679999828
10.245, -3.309999943
10.285, -2.629999876
10.325, -2.629999876
10.365, -1.919999957
10.405, -2.319999933
10.444, -3.24000001
10.484, -2.849999905
10.524, -1.709999919
10.564, -1.350000024
10.604, -1.599999905
10.644, -0.7999999523
10.684, -0.1099999994
10.724, 0.1899999976
10.764, -0.3799999952
10.804, -0.6599999666
10.844, -0.08999999613
10.884, 0.03999999911
10.924, 0.05999999866
10.964, -0.03999999911
11.004, -0.1999999881
11.044, -0.1099999994
11.084, -0.1799999923
11.124, -0.2599999905
11.164, 0.2599999905
11.204, 0.04999999702
11.243, 0.009999999776
11.283, -0.02999999933
11.323, -0.1999999881
11.363, -0.1599999964
11.403, -0.0700000003
11.443, 0.07999999821
11.483, 0.1499999911
11.523, 0.0700000003
11.563, 0.01999999955
11.603, -0.1099999994
11.643, -0.1099999994
11.683, -0.1099999994
11.723, 0.1199999973
11.763, 0.07999999821
11.803, 0.09999999404
11.843, 0
11.883, -0.1299999952
11.923, -0.05999999866
11.963, -0.03999999911
12.002, 0.1400000006
12.042, 0.1400000006
12.082, 0.03999999911
12.122, -0.02999999933
12.162, -0.1799999923
12.202, -0.05999999866
12.242, 0
12.282, 0.1199999973
12.322, 0.1599999964
12.362, 0.1299999952
12.402, 0.09999999404
12.442, -0.009999999776
12.482, 0.04999999702
12.522, 0.1599999964
12.562, 0
12.602, 0
12.642, 0.3199999928
12.682, -0.1299999952
12.722, -0.01999999955
12.761, 0.07999999821
12.801, 0.2899999917
12.841, 0.25
12.881, 0.2699999809
12.921, 0.1700000018
12.961, 0.009999999776
13.001, 0.009999999776
13.041, 0.1499999911
