time, value
0.018, -127.5999985
0.058, -124.5699997
0.098, -125.4699936
0.138, -129.2599945
0.178, -126.9199982
0.218, -125.6299973
0.258, -124.159996
0.298, -123.5
0.338, -128.0800018
0.377, -124.2999954
0.417, -124.7900009
0.457, -126.7699966
0.497, -121.5599976
0.537, -124.7900009
0.577, -122.7599945
0.617, -125.2199936
0.657, -123.8799973
0.697, -125.3899994
0.737, -123.8899994
0.777, -127.4499969
0.817, -127.3899994
0.857, -124.6800003
0.897, -124.5599976
0.937, -124.1100006
0.977, -127.3099976
1.017, -125.1800003
1.057, -125.159996
1.097, -123.9300003
1.137, -124.8699951
1.176, -123.7099991
1.216, -122.5
1.256, -130.5599976
1.296, -127.3999939
1.336, -122.2199936
1.376, -123.4799957
1.416, -126.1199951
1.456, -124.5299988
1.496, -122.5899963
1.536, -123.3999939
1.576, -124.3199997
1.616, -125.2299957
1.656, -125.3600006
1.696, -128.0200043
1.736, -126.2599945
1.776, -125.8399963
1.816, -124.3299942
1.856, -124.8899994
1.896, -124.8399963
1.936, -124.8699951
1.975, -125.4799957
2.015, -121.3299942
2.055, -121.6999969
2.095, -119.0199966
2.135, -118.7399979
2.175, -122.0499954
2.215, -125.6399994
2.255, -124.8699951
2.295, -125.8799973
2.335, -122.5699997
2.375, -126.3699951
2.415, -123.1299973
2.455, -121.5199966
2.495, -127.1699982
2.535, -120.4499969
2.575, -128.6199951
2.615, -124.9899979
2.655, -123.6299973
2.695, -123.6199951
2.735, -122.3999939
2.775, -125.6399994
2.814, -122.6999969
2.854, -123.9899979
2.894, -126.4399948
2.934, -124.3099976
2.974, -122.8499985
3.014, -121.4699936
3.054, -125.6100006
3.094, -129.3199921
3.134, -125.1499939
3.174, -119.3499985
3.214, -122.5699997
3.254, -123.8299942
3.294, -125.3799973
3.334, -130.1100006
3.374, -122.7299957
3.414, -120.3899994
3.454, -123.5499954
3.494, -123.6699982
3.534, -127.2199936
3.574, -122.2599945
3.614, -126.659996
3.654, -126.909996
3.693, -125.2399979
3.733, -126.3799973
3.773, -124.5999985
3.813, -125.8699951
3.853, -121.4199982
3.893, -124.7999954
3.933, -124.7900009
3.973, -125.0899963
4.013, -122.2999954
4.053, -127.4499969
4.093, -129.6199951
4.133, -123.3299942
4.173, -126.6999969
4.213, -123.3799973
4.253, -122.1899948
4.293, -119.7099991
4.333, -123.9899979
4.373, -122.75
4.413, -124.2199936
4.453, -125.2999954
4.492, -121.6499939
4.532, -122.6800003
4.572, -124.3699951
4.612, -126.5799942
4.652, -119.8199997
4.692, -124.1800003
4.732, -122.6399994
4.772, -121.7399979
4.812, -123.7599945
4.852, -125.3600006
4.892, -126.9699936
4.932, -123.5
4.972, -124.6100006
5.012, -124
5.052, -123.8600006
5.092, -125.7900009
5.132, -124.0400009
5.172, -123.4199982
5.211, -125.5400009
5.251, -125.0599976
5.291, -122.4199982
5.331, -124.2099991
5.371, -120.4899979
5.411, -118.1800003
5.451, -113.7999954
5.491, -110.8499985
5.531, -108.6299973
5.571, -105.2099991
5.611, -103.9899979
5.651, -102.909996
5.691, -100.8699951
5.731, -91.20999908
5.771, -86.94999695
5.811, -84.83000183
5.851, -81.15999603
5.89, -71.58999634
5.93, -75.95999908
5.97, -71.76000214
6.01, -70.97999573
6.05, -66.43999481
6.09, -67.79000092
6.13, -63.81999969
6.17, -64.30999756
6.21, -64.15000153
6.25, -63.77000046
6.29, -64.20999908
6.33, -66.87999725
6.37, -65.31999969
6.41, -71.47000122
6.45, -67.30999756
6.49, -68.90000153
6.53, -74.61000061
6.57, -73.77999878
6.609, -77.36999512
6.649, -76.70999908
6.689, -79.12999725
6.729, -76.33999634
6.769, -76.43999481
6.809, -80.36000061
6.849, -78.75
6.889, -78.22000122
6.929, -80.27999878
6.969, -73.75
7.009, -73.52999878
7.049, -72.94999695
7.089, -71.56999969
7.129, -65.76999664
7.169, -70.02999878
7.209, -66.08999634
7.249, -66.13999939
7.288, -64.90999603
7.328, -62.73999786
7.368, -60.05999756
7.408, -64.22999573
7.448, -60.98999786
7.488, -64.36000061
7.528, -61.23999786
7.568, -66.84999847
7.608, -63.45999908
7.648, -61.95999908
7.688, -67.30999756
7.728, -57.66999817
7.768, -67.76999664
7.808, -62.5
7.848, -61.00999832
7.888, -59.29999924
7.928, -62.27999878
7.968, -62.80999756
8.008, -59.00999832
8.048, -60.22999954
8.087, -61.75
8.127, -61
8.167, -56.02999878
8.207, -58.56999969
8.247, -57.45999908
8.287, -60.96999741
8.327, -59.13999939
8.367, -58.55999756
8.407, -65.93999481
8.447, -62.88999939
8.487, -60.61999893
8.527, -63
8.567, -58.87999725
8.607, -61.27999878
8.647, -59.52000046
8.687, -64.98999786
8.727, -61.69999695
8.767, -59.75999832
8.807, -58.0399971
8.847, -58.68999863
8.886, -62.07999802
8.926, -60.25
8.966, -59.71999741
9.006, -60.11999893
9.046, -60.25
9.086, -61.95999908
9.126, -61.15999985
9.166, -62.36999893
9.206, -67.08000183
9.246, -62.96999741
9.286, -61.90999985
9.326, -66.16999817
9.366, -66.37999725
9.406, -71.84999847
9.446, -66.73999786
9.486, -72.80999756
9.526, -72.83999634
9.566, -74.91999817
9.606, -72.5
9.645, -71.20999908
9.685, -73.15000153
9.725, -68.15000153
9.765, -61.94999695
9.805, -60.54999924
9.845, -53.86999893
9.885, -56.93000031
9.925, -57.27000046
9.965, -65.05999756
10.005, -64.02999878
10.045, -65.33000183
10.085, -69.29999542
10.125, -78.23999786
10.165, -85.20999908
10.205, -87.83000183
10.245, -88.61000061
10.285, -94.31999969
10.325, -91.22000122
10.365, -95.02999878
10.405, -105.1100006
10.444, -104.1199951
10.484, -109.8999939
10.524, -112.0499954
10.564, -115.5
10.604, -113.5299988
10.644, -114.25
10.684, -115.0299988
10.724, -118.5299988
10.764, -117.5
10.804, -122.159996
10.844, -116.5299988
10.884, -118.5899963
10.924, -118.5599976
10.964, -116.5999985
11.004, -113.659996
11.044, -120.8799973
11.084, -116.8999939
11.124, -116.3799973
11.164, -119.6100006
11.204, -118.8199997
11.243, -119.1399994
11.283, -121.3499985
11.323, -119.1800003
11.363, -116.8499985
11.403, -119.1499939
11.443, -117.1499939
11.483, -113.5299988
11.523, -122.7299957
11.563, -116.3600006
11.603, -117.3699951
11.643, -112.9599991
11.683, -113.0400009
11.723, -115.2200012
11.763, -115.4300003
11.803, -112.0199966
11.843, -117.8499985
11.883, -117.3699951
11.923, -116.3399963
11.963, -120.9300003
12.002, -116.7399979
12.042, -115.6100006
12.082, -119.6199951
12.122, -115.4599991
12.162, -117.7999954
12.202, -119.7399979
12.242, -120.2599945
12.282, -116.7399979
12.322, -115.7099991
12.362, -113.9799957
12.402, -118.1199951
12.442, -115.5
12.482, -119.0899963
12.522, -120.6800003
12.562, -115.5599976
12.602, -115.2699966
12.642, -115.7699966
12.682, -118
12.722, -113.6999969
12.761, -115.3499985
12.801, -117.8699951
12.841, -117.7799988
12.881, -114.9499969
12.921, -113
12.961, -117.659996
13.001, -117.2599945
13.041, -111.1399994
