time, value
0.017, -29.89626312
0.057, -29.98311424
0.097, -29.89626312
0.137, -29.89626312
0.177, -29.98311424
0.217, -29.98311424
0.257, -29.8094101
0.297, -29.98311424
0.337, -29.98311424
0.377, -29.8094101
0.417, -30.06996727
0.457, -29.98311424
0.497, -29.98311424
0.537, -29.98311424
0.577, -29.98311424
0.617, -29.89626312
0.657, -29.89626312
0.697, -29.98311424
0.737, -29.89626312
0.776, -29.89626312
0.816, -29.98311424
0.856, -29.98311424
0.896, -29.98311424
0.936, -29.89626312
0.976, -29.98311424
1.016, -29.98311424
1.056, -29.89626312
1.096, -29.98311424
1.136, -29.98311424
1.176, -29.89626312
1.216, -29.98311424
1.256, -29.98311424
1.296, -29.8094101
1.336, -29.98311424
1.376, -29.89626312
1.416, -29.98311424
1.456, -29.89626312
1.496, -29.89626312
1.536, -29.98311424
1.576, -30.06996727
1.615, -29.98311424
1.655, -29.89626312
1.695, -29.8094101
1.735, -29.98311424
1.775, -29.98311424
1.815, -29.89626312
1.855, -29.98311424
1.895, -29.98311424
1.935, -29.98311424
1.975, -29.98311424
2.015, -29.89626312
2.055, -30.06996727
2.095, -29.89626312
2.135, -29.98311424
2.175, -30.06996727
2.215, -29.98311424
2.255, -29.89626312
2.295, -29.89626312
2.335, -29.89626312
2.375, -29.98311424
2.414, -29.89626312
2.454, -29.98311424
2.494, -29.98311424
2.534, -30.06996727
2.574, -29.98311424
2.614, -29.98311424
2.654, -30.06996727
2.694, -29.98311424
2.734, -29.89626312
2.774, -29.89626312
2.814, -29.98311424
2.854, -29.89626312
2.894, -29.89626312
2.934, -29.89626312
2.974, -29.98311424
3.014, -29.98311424
3.054, -29.98311424
3.094, -29.89626312
3.134, -29.89626312
3.174, -29.89626312
3.214, -29.98311424
3.253, -29.98311424
3.293, -29.98311424
3.333, -29.98311424
3.373, -30.06996727
3.413, -29.98311424
3.453, -29.98311424
3.493, -29.98311424
3.533, -29.98311424
3.573, -29.8094101
3.613, -29.98311424
3.653, -29.89626312
3.693, -29.89626312
3.733, -29.98311424
3.773, -29.89626312
3.813, -29.98311424
3.853, -29.89626312
3.893, -29.8094101
3.933, -29.98311424
3.973, -30.06996727
4.013, -29.89626312
4.053, -29.98311424
4.092, -29.8094101
4.132, -29.98311424
4.172, -29.98311424
4.212, -29.89626312
4.252, -29.98311424
4.292, -29.98311424
4.332, -29.89626312
4.372, -29.8094101
4.412, -29.98311424
4.452, -29.98311424
4.492, -29.98311424
4.532, -29.89626312
4.572, -29.98311424
4.612, -30.06996727
4.652, -29.98311424
4.692, -29.89626312
