time, value
0.007, 0.9095869064
0.047, 0.8178124428
0.087, 0.8004772663
0.127, 0.7811026573
0.167, 0.8606405258
0.207, 0.7637674809
0.247, 0.733175993
0.287, 0.7943589687
0.327, 0.876955986
0.367, 0.8014969826
0.407, 0.8229110241
0.447, 0.7658069134
0.487, 0.7668266296
0.527, 0.8025166988
0.567, 0.7321562767
0.607, 0.8137335777
0.647, 0.7821223736
0.687, 0.7698857784
0.727, 0.8198518753
0.767, 0.7974181175
0.807, 0.8167927265
0.847, 0.79945755
0.887, 0.8310687542
0.927, 0.814753294
0.967, 0.7729449272
1.007, 0.7790632248
1.047, 0.8065955639
1.087, 0.8300490379
1.127, 0.8229110241
1.167, 0.8208715916
1.207, 0.795378685
1.247, 0.7780435085
1.287, 0.8045561314
1.327, 0.8300490379
1.367, 0.8229110241
1.407, 0.8045561314
1.447, 0.7831420898
1.487, 0.7637674809
1.527, 0.7841618061
1.567, 0.8116941452
1.607, 0.8269898891
1.647, 0.8269898891
1.687, 0.8137335777
1.727, 0.8014969826
1.767, 0.7974181175
1.807, 0.8014969826
1.847, 0.8198518753
1.887, 0.8086349964
1.927, 0.8065955639
1.967, 0.8065955639
2.007, 0.818832159
2.047, 0.7770237923
2.087, 0.7739646435
2.127, 0.7505111694
2.167, 0.7984378338
2.207, 0.8453447819
2.247, 0.8412659168
2.287, 0.8443250656
2.327, 0.8116941452
2.367, 0.8320884705
2.407, 0.8300490379
2.447, 0.8290293217
2.487, 0.8127138615
2.527, 0.8014969826
2.567, 0.8086349964
2.607, 0.8259701729
2.647, 0.8300490379
2.687, 0.8208715916
2.727, 0.8065955639
2.767, 0.8106744289
2.807, 0.8259701729
2.847, 0.8229110241
2.887, 0.8269898891
2.927, 0.8351476192
2.967, 0.8290293217
3.007, 0.8167927265
3.047, 0.8106744289
3.087, 0.8096547127
3.127, 0.8096547127
3.167, 0.8137335777
3.207, 0.8198518753
3.247, 0.814753294
3.287, 0.8218913078
3.327, 0.814753294
3.367, 0.8127138615
3.407, 0.8331081867
3.447, 0.8392264843
3.487, 0.8239307404
3.527, 0.8065955639
3.567, 0.8198518753
3.607, 0.8137335777
3.647, 0.814753294
3.687, 0.8229110241
3.727, 0.8249504566
3.767, 0.8218913078
3.807, 0.814753294
3.847, 0.8076152802
3.887, 0.8300490379
3.927, 0.8127138615
3.967, 0.8208715916
4.007, 0.8402462006
4.047, 0.8208715916
4.087, 0.8014969826
4.127, 0.8402462006
4.167, 0.8320884705
4.207, 0.8463644981
4.247, 0.834127903
4.287, 0.7862012386
4.327, 0.7698857784
4.367, 0.8055758476
4.407, 0.8137335777
4.447, 0.818832159
4.487, 0.8392264843
4.527, 0.8116941452
4.567, 0.8076152802
4.607, 0.8137335777
4.647, 0.834127903
4.687, 0.8280096054
4.727, 0.8055758476
4.767, 0.8086349964
4.807, 0.8229110241
4.847, 0.8208715916
4.887, 0.8269898891
4.927, 0.8116941452
4.967, 0.8320884705
5.007, 0.8035364151
5.047, 0.8830742836
5.087, 0.7790632248
5.127, 0.8463644981
5.167, 0.8698179722
