time, value
0.008, 81.18999481
0.048, 86.61999512
0.088, 89.11000061
0.128, 106.5099945
0.168, 104.7099991
0.208, 102.6800003
0.248, 90.91999817
0.288, 97.59999847
0.327, 96.22000122
0.368, 101.5199966
0.407, 92.83999634
0.447, 88.29999542
0.487, 81.54000092
0.527, 81.90999603
0.567, 84.20999908
0.607, 77.90000153
0.647, 89.23999786
0.687, 84.97000122
0.727, 89.30999756
0.767, 92.18000031
0.807, 90.06999969
0.847, 97.84999847
0.887, 90.94999695
0.927, 88.36999512
0.967, 93.11000061
1.007, 89
1.047, 89.40000153
1.087, 90.69999695
1.127, 96.18000031
1.167, 92.08999634
1.207, 91.73999786
1.247, 89.86999512
1.287, 87.08000183
1.327, 89.87999725
1.367, 87.77999878
1.407, 82.08999634
1.447, 81.5
1.487, 79.77999878
1.527, 81.68999481
1.567, 84.94999695
1.607, 77.93999481
1.647, 77.5
1.687, 84.47999573
1.727, 82.61999512
1.767, 74.83000183
1.807, 79.04000092
1.847, 73.41999817
1.887, 74.48999786
1.927, 79.31999969
1.967, 78.37999725
2.007, 81.16999817
2.047, 76.77999878
2.087, 82.36000061
2.127, 77.65000153
2.167, 77.54999542
2.207, 80.25999451
2.247, 79.62999725
2.287, 85.43000031
2.327, 84.93999481
2.367, 80.98999786
2.407, 80.69999695
2.447, 81.43000031
2.487, 76.38999939
2.527, 78.59999847
2.567, 75.52999878
2.607, 71.54000092
2.647, 75.90999603
2.687, 78.95999908
2.727, 79.55999756
2.767, 79.95999908
2.807, 75.12999725
2.847, 79.86000061
2.887, 79.86000061
2.927, 81.06999969
2.967, 78.62999725
3.007, 80.83000183
3.047, 85.04000092
3.087, 84.83999634
3.127, 82.66999817
3.167, 72.02999878
3.207, 77.52999878
3.247, 84.38999939
3.287, 88.65000153
3.327, 80.04999542
3.367, 81.40000153
3.407, 85.02999878
3.447, 83.55999756
3.487, 81.48999786
3.527, 84.38999939
3.567, 81.65999603
3.607, 80.5
3.647, 83.75
3.687, 79.63999939
3.727, 83.41999817
3.767, 82.40999603
3.807, 85.08000183
3.847, 82.25
3.887, 84.83000183
3.927, 93.47000122
3.967, 85.18999481
4.007, 88.08000183
4.047, 87.15999603
4.087, 84.43999481
4.127, 86.70999908
4.167, 90.98999786
4.207, 89.22000122
4.247, 85.91999817
4.287, 89.36999512
4.327, 83.22000122
4.367, 79.30999756
4.407, 84.55999756
4.447, 86.87999725
4.487, 85.5
4.527, 82.02999878
4.567, 83.29999542
4.607, 83.19999695
4.647, 88.73999786
4.687, 89.62999725
4.727, 90.36000061
4.767, 81.41999817
4.807, 86.47000122
4.847, 85.12999725
4.887, 88.8299942
4.927, 85.08999634
4.967, 87.08000183
5.007, 82.30999756
5.047, 85.87999725
5.087, 89.97999573
5.127, 90.91999817
5.167, 84.5
5.207, 89.41999817
5.247, 90.86999512
5.287, 95.58999634
5.327, 79.05999756
5.367, 90.27999878
5.407, 84.37999725
5.447, 75.69999695
5.487, 83.69999695
5.527, 84.12999725
5.567, 81.66999817
5.607, 86.76999664
5.647, 92.61000061
5.687, 82.62999725
5.727, 79.48999786
5.767, 77.55999756
5.807, 87.61999512
5.847, 90.29000092
5.887, 87.83000183
5.927, 83.83999634
5.967, 89.09999847
6.007, 91.36999512
6.047, 92.30999756
6.087, 94.33999634
6.127, 89.04000092
6.167, 87.01999664
6.207, 90.88999939
6.247, 95.01999664
6.287, 91.04000092
6.327, 85.16999817
6.367, 91.90000153
6.407, 98.58999634
6.447, 97.13999939
6.487, 99.15000153
6.527, 102.6299973
6.567, 100.2699966
6.607, 113.6100006
6.647, 107.0199966
6.687, 103.7200012
6.727, 113.4799957
6.767, 117.1399994
6.807, 118.0999985
6.847, 114.9199982
6.887, 107.3199997
6.927, 104.0599976
6.967, 108.5699997
7.006, 111.9599991
7.046, 117.6199951
7.086, 124.659996
7.126, 117.1800003
7.166, 111.3299942
7.206, 117.8299942
7.246, 110.7200012
7.286, 119.8199997
7.326, 122.1699982
7.366, 117.75
7.406, 127.4599991
7.446, 118.9199982
7.486, 125.2099991
7.526, 121.8699951
7.566, 118.2900009
7.606, 125.6499939
7.646, 124.9199982
7.686, 127.9199982
7.726, 122.2699966
7.766, 124.0599976
7.806, 128.5500031
7.846, 115.8899994
7.886, 120.1100006
7.926, 118.0699997
7.966, 123.7099991
8.006, 123.0400009
8.046, 120.9399948
8.086, 125.7599945
8.126, 122.2099991
8.166, 122.6699982
8.206, 120.2399979
8.246, 122.2599945
8.286, 110.2699966
8.326, 120.3799973
8.366, 114.2799988
8.406, 112.3600006
8.446, 124.409996
8.486, 118.3199997
8.526, 119.3799973
8.566, 119.8799973
8.606, 110.6399994
8.646, 121.409996
8.686, 108.0699997
8.726, 117.5899963
8.766, 121.6100006
8.806, 117.1299973
8.846, 119.4499969
8.886, 119.9499969
8.926, 123.6399994
8.966, 125.6499939
9.006, 135.3499908
9.046, 131.0899963
9.086, 131.3199921
9.126, 131.8000031
9.166, 139.5800018
9.206, 123.1899948
9.246, 140.3099976
9.286, 134.1799927
9.326, 132.7200012
9.366, 123.25
9.406, 130.0699921
9.446, 125.6100006
9.486, 124.6800003
9.526, 117.0699997
9.566, 119.5400009
9.606, 119.5899963
9.646, 117.6100006
9.686, 115.6299973
9.726, 121.5799942
9.766, 119.2699966
9.806, 116.5599976
9.846, 110.5599976
9.886, 113.1199951
9.926, 100.75
9.966, 95.29000092
10.006, 101.6299973
10.046, 101.3899994
10.086, 103
10.126, 103.1899948
10.166, 111.409996
10.206, 104.1100006
10.246, 96.06999969
10.286, 91.47999573
10.326, 100.9499969
10.366, 97.70999908
10.406, 112.7200012
10.446, 103.0400009
10.486, 100.4199982
10.526, 101.8099976
10.566, 98.18000031
10.606, 97.22999573
10.646, 98.86000061
10.686, 93.81999969
10.726, 94.5799942
10.766, 92.06999969
10.806, 94.45999908
10.846, 84.29999542
10.886, 94.5
10.926, 87.73999786
10.966, 93.09999847
11.006, 92.04000092
11.046, 87.61999512
11.086, 83.47999573
11.126, 95.84999847
11.166, 89.77999878
11.206, 92.65000153
11.246, 84.84999847
11.286, 82.40999603
11.326, 89.15000153
11.366, 81.19999695
11.406, 81.73999786
11.446, 84.47000122
11.486, 84.5
11.526, 83.04000092
11.566, 83.45999908
11.606, 85.70999908
11.646, 83.23999786
11.685, 81.84999847
11.725, 82.97999573
11.765, 81.79000092
11.805, 80.84999847
11.845, 85.20999908
11.885, 87.56999969
11.925, 77.05999756
11.965, 84.93000031
12.005, 78.05999756
12.045, 79
12.085, 82.80999756
12.125, 90.01999664
12.165, 81.62999725
12.205, 86.33000183
12.245, 87.98999786
12.285, 81.27999878
12.325, 82.19999695
12.365, 86.09999847
12.405, 81.12999725
12.445, 88.84999847
12.485, 79.86000061
12.525, 74.45999908
12.565, 80.37999725
12.605, 83.41999817
12.645, 78.25999451
12.685, 77.11999512
12.725, 89.04000092
