time, value
0.008, 0
0.048, 0
0.088, 0
0.128, 0
0.168, 0
0.208, 0
0.248, 0
0.288, 0
0.328, 0
0.368, 0
0.408, 0
0.448, 0
0.488, 0
0.528, 0
0.568, 0
0.607, 0
0.648, 0
0.688, 0
0.727, 0
0.767, 0
0.807, 0
0.847, 0
0.887, 0
0.927, 0
0.967, 0
1.007, 0
1.047, 0
1.087, 0
1.127, 0
1.167, 0
1.207, 0
1.247, 0
1.287, 0
1.327, 0
1.367, 0
1.407, 0
1.447, 0
1.487, 0
1.527, 0
1.567, 0
1.607, 0
1.647, 0
1.687, 0
1.727, 0
1.767, 0
1.807, 0
1.847, 0
1.887, 0
1.927, 0
1.967, 0
2.007, 0
2.047, 0
2.087, 0
2.127, 0
2.167, 0
2.207, 0
2.247, 0
2.287, 0
2.327, 0
2.367, 0
2.407, 0
2.447, 0
2.487, 0
2.527, 0
2.567, 0
2.607, 0
2.647, 0
2.687, 0
2.727, 0
2.767, 0
2.807, 0
2.847, 0
2.887, 0
2.927, 0
2.967, 0
3.007, 0
3.047, 0
3.087, 0
3.127, 0
3.167, 0
3.207, 0
3.247, 0
3.287, 0
3.327, 0
3.367, 0
3.407, 0
3.447, 0
3.487, 0
3.527, 0
3.567, 0
3.607, 0
3.647, 0
3.687, 0
3.727, 0
3.767, 0
3.807, 0
3.847, 0
3.887, 0
3.927, 0
3.967, 0
4.007, 0
4.047, 0
4.087, 0
4.127, 0
4.167, 0
4.207, 0
4.247, 0
4.287, 0
4.327, 0
4.367, 0
4.407, 0
4.447, 0
4.487, 0
4.527, 0
4.567, 0
4.607, 0
4.647, 0
4.687, 0
4.727, 0
4.767, 0
4.807, 0
4.847, 0
4.887, 0
4.927, 0
4.967, 0
5.007, 0
5.047, 0
5.087, 0
5.127, 0
5.167, 0
5.207, 0
5.247, 0
5.287, 0
5.327, 0
5.367, 0
5.407, 0
5.447, 0
5.487, 0
5.527, 0
5.567, 0
5.607, 0
5.647, 0
5.687, 0
5.727, 0
5.767, 0
5.807, 0
5.847, 0
5.887, 0
5.927, 0
5.967, 0
6.007, 0
6.047, 0
6.087, 0
6.127, 0
6.167, 0
6.207, 0
6.247, 0
6.287, 0
6.327, 0
6.367, 0
6.407, 0
6.447, 0
6.487, 0
6.527, 0
6.567, 0
6.607, 0
6.647, 0
6.687, 0
6.727, 0
6.767, 0
6.807, 0
6.847, 0
6.887, 0
6.927, 0
6.967, 0
7.007, 0
7.047, 0
7.087, 0
7.127, 0
7.166, 0
7.206, 0
7.247, 0
7.286, 0
7.326, 0
7.366, 0
7.406, 0
7.446, 0
7.486, 0
7.526, 0
7.566, 0
7.606, 0
7.646, 0
7.686, 0
7.726, 0
7.766, 0
7.806, 0
7.846, 0
7.886, 0
7.926, 0
7.966, 0
8.006, 0
8.046, 0
8.086, 0
8.126, 0
8.166, 0
8.206, 0
8.246, 0
8.286, 0
8.326, 0
8.366, 0
8.406, 0
8.446, 0
8.486, 0
8.526, 0
8.566, 0
8.606, 0
8.646, 0
8.686, 0
8.726, 0
8.766, 0
8.806, 0
8.846, 0
8.886, 0
8.926, 0
8.966, 0
9.006, 0
9.046, 0
9.086, 0
9.126, 0
9.166, 0
9.206, 0
9.246, 0
9.286, 0
9.326, 0
9.366, 0
9.406, 0
9.446, 0
9.486, 0
9.526, 0
9.566, 0
9.606, 0
9.646, 0
9.686, 0
9.726, 0
9.766, 0
9.806, 0
9.846, 0
9.886, 0
9.926, 0
9.966, 0
10.006, 0
10.046, 0
10.086, 0
10.126, 0
10.166, 0
10.206, 0
10.246, 0
10.286, 0
10.326, 0
10.366, 0
10.406, 0
10.446, 0
10.486, 0
10.526, 0
10.566, 0
10.606, 0
10.646, 0
10.686, 0
10.726, 0
10.766, 0
10.806, 0
10.846, 0
10.886, 0
10.926, 0
10.966, 0
11.006, 0
11.046, 0
11.086, 0
11.126, 0
11.166, 0
11.206, 0
11.246, 0
11.286, 0
11.326, 0
11.366, 0
11.406, 0
11.446, 0
11.486, 0
11.526, 0
11.566, 0
11.606, 0
11.646, 0
11.686, 0
11.726, 0
11.766, 0
11.806, 0
11.845, 0
11.885, 0
11.925, 0
11.965, 0
12.005, 0
12.045, 0
12.085, 0
12.125, 0
12.165, 0
12.205, 0
12.245, 0
12.285, 0
12.325, 0
12.365, 0
12.405, 0
12.445, 0
12.485, 0
12.525, 0
12.566, 0
12.606, 0
12.646, 0
12.686, 0
12.726, 0
