time, value
0, 4.309999943
0.04, 12.75999928
0.08, 4.549999714
0.12, 0.3700000048
0.16, 6.869999886
0.2, 8.699999809
0.24, -0.5299999714
0.28, -1.799999952
0.32, 3.029999971
0.36, 1.370000005
0.4, 2.139999866
0.44, 1.730000019
0.48, 5.96999979
0.52, 3.879999876
0.56, 2.289999962
0.6, 2.419999838
0.64, 3.75
0.68, 6.440000057
0.721, 2.279999971
0.761, 5.049999714
0.801, 3.5
0.841, 3.7099998
0.881, 6.329999924
0.921, 7.960000038
0.961, 0.5399999619
1.001, 4.96999979
1.041, 1.00999999
1.081, 1.659999967
1.121, 4.75
1.161, 2.710000038
1.201, 9.960000038
1.241, 6.279999733
1.281, 3.730000019
1.321, 3.9599998
1.361, 1.480000019
1.401, 5.889999866
1.441, 4.429999828
1.481, 3.480000019
1.521, 6.159999847
1.561, 4.329999924
1.601, -0.5399999619
1.641, 2.819999933
1.681, 6.75
1.721, 7.919999599
1.761, 5.809999943
1.801, 6.319999695
1.841, 0.8700000048
1.881, 3.109999895
1.921, 7.069999695
1.961, 2.019999981
2.001, 5.170000076
2.041, 4.409999847
2.081, 3.99000001
2.121, 3.569999933
2.161, 0.9899999499
2.201, 2.440000057
2.241, 2.859999895
2.281, -0.5699999928
2.321, -0.7899999619
2.361, 3.319999933
2.401, 6.909999847
2.441, 8.880000114
2.481, 2.939999819
2.521, 4.900000095
2.561, 5.059999943
2.601, 2.909999847
2.641, 2.379999876
2.681, 2.139999866
2.721, 11.2699995
2.761, 2.75
2.802, 3.539999962
2.842, 1.350000024
2.882, 4.259999752
2.922, 1.889999986
2.962, 1.75
3.002, -2.450000048
3.042, 3.199999809
3.082, 5.879999638
3.122, 5.369999886
3.162, 0.05999999866
3.202, 5.759999752
3.242, 2.730000019
3.282, 0.7799999714
3.322, 6.420000076
3.362, 2.879999876
3.402, 5.869999886
3.442, 1.459999919
3.482, 3.849999905
3.522, 8.519999504
3.562, 1.25999999
3.602, 2.849999905
3.642, 2.849999905
3.682, -4.299999714
3.722, 5.989999771
3.762, 8.88999939
3.802, 6.210000038
3.842, 1.74000001
3.882, 2.440000057
3.922, 3.970000029
3.962, 4.429999828
4.002, 8.239999771
4.042, 5.579999924
4.082, 6.170000076
4.122, 6.429999828
4.162, 6.789999962
4.202, 7.419999599
4.242, 3.899999857
4.282, 2.829999924
4.322, 0.2899999917
4.362, 5.75
4.402, 6.309999943
4.442, 1.599999905
4.482, 3.699999809
4.522, 1.019999981
4.562, 2.269999981
4.602, 1.699999928
4.642, -0.5399999619
4.682, 1.939999938
4.722, 2.389999866
4.762, 3.349999905
4.802, 4.559999943
4.842, 1.25999999
4.882, 2.119999886
4.922, 4.639999866
4.962, 3.839999914
5.002, 4.769999981
5.042, 2.859999895
5.082, 5.690000057
5.122, 5.079999924
5.162, 6.009999752
5.202, 5.449999809
5.242, 1.129999995
5.282, 0.4099999964
5.322, 2.909999847
5.362, -1.299999952
5.402, 3.449999809
5.442, 5.670000076
5.482, 4.829999924
5.522, 0.9300000072
5.562, 2.710000038
5.602, 3.480000019
5.642, 5.659999847
5.682, 3.769999981
5.722, 4.329999924
5.762, 3.059999943
5.802, 3.149999857
5.842, 6.839999676
5.882, 5.929999828
5.922, 6.329999924
5.962, 2.619999886
6.002, 3.449999809
6.042, 2.919999838
6.082, 5.139999866
6.123, 6.21999979
6.162, 2.319999933
6.203, 5.190000057
6.243, -1.629999995
6.283, 2.25999999
6.323, 2.569999933
6.363, 5.960000038
6.403, 3.679999828
6.443, 5.019999981
6.483, 4.96999979
6.523, 4.259999752
6.563, 0.01999999955
6.603, 4.019999981
6.643, 3.779999971
6.683, -1.419999957
6.723, -0.08999999613
6.763, 3.599999905
6.803, 6.639999866
6.843, 2.129999876
6.883, 9.039999962
6.923, 4.049999714
6.963, 6.759999752
7.003, 6.399999619
7.043, -0.4399999976
7.083, 5.210000038
7.123, 1.019999981
7.163, 0.8899999857
7.203, 5.639999866
7.243, 3.109999895
7.283, 1.289999962
7.323, -0.6200000048
7.363, 2.960000038
7.403, 2.909999847
7.443, 4.579999924
7.483, 4.179999828
7.523, 4.630000114
7.563, 5.400000095
7.603, 4.380000114
7.643, 3.24000001
7.683, 2.169999838
7.723, 5.019999981
7.763, 2.659999847
7.803, 1.360000014
7.843, 1.360000014
7.883, 5.349999905
7.923, -0.4499999881
7.963, -0.01999999955
8.003, 5.150000095
8.043, 3.649999857
8.083, 1.649999976
8.123, 4.360000134
8.163, 3.559999943
8.203, 5.130000114
8.243, 1.9799999
8.283, 7.739999771
8.323, 1.599999905
8.363, 1.469999909
8.403, 4.619999886
8.443, 5.029999733
8.483, 7.480000019
8.523, 7.789999962
