time, value
0, 173.4400024
0.04, 179.0899963
0.08, 183.5800018
0.12, 173.6499939
0.16, 180.8699951
0.2, 180.1199951
0.24, 181.1999969
0.28, 179.6599884
0.32, 180.9400024
0.36, 178.4099884
0.4, 177.7099915
0.44, 174.7799988
0.48, 173.1799927
0.52, 174.3099976
0.56, 169.3799896
0.6, 175.6799927
0.64, 176.2200012
0.68, 174.1799927
0.721, 180.8300018
0.761, 178.8000031
0.801, 180.019989
0.841, 178.5599976
0.881, 183.7599945
0.921, 177.5699921
0.961, 179.8099976
1.001, 177.6900024
1.041, 178.1399994
1.081, 180.1999969
1.121, 182.7799988
1.161, 172.9700012
1.201, 174.6699982
1.241, 176.8199921
1.281, 184.0800018
1.321, 176.9100037
1.361, 179.8899994
1.401, 184.5299988
1.441, 180.4400024
1.481, 182.1900024
1.521, 179.5699921
1.561, 174.0699921
1.601, 185.3000031
1.641, 173.5299988
1.681, 179.5699921
1.721, 175.1399994
1.761, 183.3399963
1.801, 174.4899902
1.841, 179.3999939
1.881, 179.769989
1.921, 185.9700012
1.961, 187.019989
2.001, 180.1100006
2.041, 181.2599945
2.081, 177.6699982
2.121, 178.5399933
2.161, 178.519989
2.201, 175.0800018
2.241, 175.5299988
2.281, 182.5699921
2.321, 177.3799896
2.361, 182.3799896
2.401, 179.9899902
2.441, 178.5999908
2.481, 178.0299988
2.521, 173.3499908
2.561, 182.8699951
2.601, 179.1900024
2.641, 180.769989
2.681, 179.1499939
2.721, 179.2099915
2.761, 176.1900024
2.802, 177.6900024
2.842, 184.5999908
2.882, 174.769989
2.922, 182.9899902
2.962, 173.8799896
3.002, 182.1999969
3.042, 179.3600006
3.082, 182.0299988
3.122, 181.4400024
3.162, 181.7799988
3.202, 178.5299988
3.242, 181.6399994
3.282, 178.3199921
3.322, 181.5099945
3.362, 174.75
3.402, 185.7799988
3.442, 181.2299957
3.482, 183.3699951
3.522, 177.5500031
3.562, 175.5800018
3.602, 178.4099884
3.642, 178.5800018
3.682, 173.4899902
3.722, 182.9499969
3.762, 182.4899902
3.802, 182.4499969
3.842, 170.6399994
3.882, 180.7200012
3.922, 178.6599884
3.962, 182.0599976
4.002, 182.7599945
4.042, 184.0800018
4.082, 183.0299988
4.122, 183.3600006
4.162, 177.7599945
4.202, 175.1199951
4.242, 181.3199921
4.282, 179.4400024
4.322, 178.4899902
4.362, 176.2899933
4.402, 172.5599976
4.442, 176.5699921
4.482, 180.3899994
4.522, 176.6199951
4.562, 178.1599884
4.602, 179.5699921
4.642, 175.25
4.682, 180.0999908
4.722, 180.519989
4.762, 180.6499939
4.802, 183.2899933
4.842, 177.7099915
4.882, 180.0500031
4.922, 180.5099945
4.962, 176.0299988
5.002, 179.3000031
5.042, 185.6699982
5.082, 180.0999908
5.122, 184.2399902
5.162, 185.2299957
5.202, 181.8000031
5.242, 182.1299896
5.282, 177.6999969
5.322, 172.4100037
5.362, 186.5800018
5.402, 182.7799988
5.442, 180.9599915
5.482, 169.7200012
5.522, 174.8899994
5.562, 180.3999939
5.602, 181.0999908
5.642, 179.769989
5.682, 182.1900024
5.722, 176.8300018
5.762, 183.4599915
5.802, 179.1999969
5.842, 175.0899963
5.882, 176.3399963
5.922, 183.8000031
5.962, 184.3099976
6.002, 178.8000031
6.042, 176.5800018
6.082, 179.0399933
6.123, 181.8899994
6.162, 184.3099976
6.203, 183.8399963
6.243, 175.9299927
6.283, 182.4299927
6.323, 179.8199921
6.363, 176.7200012
6.403, 184.9199982
6.443, 182.0899963
6.483, 181.8000031
6.523, 181.8000031
6.563, 177.6399994
6.603, 183.6399994
6.643, 177.4299927
6.683, 176.8799896
6.723, 172.6900024
6.763, 182.9799957
6.803, 169.0399933
6.843, 183.8300018
6.883, 194.9700012
6.923, 178.8499908
6.963, 177.1299896
7.003, 178.5299988
7.043, 175.9799957
7.083, 180.0999908
7.123, 177.4499969
7.163, 175.9599915
7.203, 173.6799927
7.243, 178.2399902
7.283, 174.5899963
7.323, 173.1399994
7.363, 172.7599945
7.403, 175.6499939
7.443, 185.8000031
7.483, 174.3999939
7.523, 181.3799896
7.563, 182.9499969
7.603, 171.6999969
7.643, 172.9599915
7.683, 181.6199951
7.723, 176.1100006
7.763, 185.3000031
7.803, 181.1999969
7.843, 178.4499969
7.883, 180.019989
7.923, 177.1999969
7.963, 178.0299988
8.003, 178.7799988
8.043, 175.6699982
8.083, 183.9899902
8.123, 178.3799896
8.163, 177.519989
8.203, 183.2299957
8.243, 178.7299957
8.283, 182.519989
8.323, 184.2599945
8.363, 172.2299957
8.403, 178.6999969
8.443, 178.4700012
8.483, 174.5099945
8.523, 187.2399902
8.563, 180.2099915
8.603, 181.75
8.643, 180.5599976
8.683, 180.4199982
8.723, 174.1600037
8.763, 179.8300018
8.803, 181.8300018
8.843, 177.8499908
8.883, 175.3699951
8.923, 173
8.963, 177.4700012
9.003, 177.1900024
9.043, 181.7200012
9.083, 179.0699921
9.123, 178.9799957
9.163, 181.4799957
9.203, 181.4899902
9.243, 177.8999939
9.283, 176.0699921
9.323, 174.8399963
9.363, 180.519989
9.403, 180.6100006
9.443, 182.3899994
