time, value
0.055, 0.1641743183
0.095, 0.1641743183
0.135, 0.1651940346
0.175, 0.1641743183
0.215, 0.1641743183
0.255, 0.1641743183
0.295, 0.1631546021
0.335, 0.1631546021
0.375, 0.1641743183
0.415, 0.1641743183
0.455, 0.1641743183
0.495, 0.1641743183
0.535, 0.1662137508
0.575, 0.1641743183
0.615, 0.1651940346
0.655, 0.1641743183
0.695, 0.1641743183
0.735, 0.1662137508
0.775, 0.1651940346
0.815, 0.1662137508
0.855, 0.1631546021
0.895, 0.1651940346
0.935, 0.1651940346
0.975, 0.1631546021
1.015, 0.1651940346
1.055, 0.1641743183
1.095, 0.1641743183
1.135, 0.1631546021
1.175, 0.1641743183
1.215, 0.1651940346
1.255, 0.1641743183
1.295, 0.1651940346
1.335, 0.1651940346
1.375, 0.1641743183
1.415, 0.1651940346
1.455, 0.1651940346
1.495, 0.1651940346
1.535, 0.1631546021
1.575, 0.1641743183
1.615, 0.1641743183
1.655, 0.1641743183
1.695, 0.1651940346
1.735, 0.1631546021
1.775, 0.1641743183
1.815, 0.1641743183
1.855, 0.1631546021
1.895, 0.1651940346
1.935, 0.1651940346
1.975, 0.1641743183
2.015, 0.1641743183
2.055, 0.1651940346
2.095, 0.1641743183
2.135, 0.1641743183
2.175, 0.1641743183
2.215, 0.1641743183
2.255, 0.1651940346
2.295, 0.1651940346
2.335, 0.1641743183
2.375, 0.1641743183
2.415, 0.1662137508
2.455, 0.1651940346
2.495, 0.1651940346
2.535, 0.1672334671
2.575, 0.1611151695
2.615, 0.1641743183
2.655, 0.1662137508
2.695, 0.1641743183
2.735, 0.1641743183
2.775, 0.1641743183
2.815, 0.1631546021
2.855, 0.1641743183
2.895, 0.1631546021
2.935, 0.1641743183
2.975, 0.1662137508
3.015, 0.1631546021
3.055, 0.1631546021
3.095, 0.1651940346
3.135, 0.1641743183
3.175, 0.1641743183
3.215, 0.1662137508
3.255, 0.1641743183
3.295, 0.1641743183
3.335, 0.1651940346
3.375, 0.1641743183
3.415, 0.1631546021
3.455, 0.1641743183
3.495, 0.1641743183
3.535, 0.1641743183
3.575, 0.1641743183
3.615, 0.1641743183
3.655, 0.1651940346
3.695, 0.1662137508
3.735, 0.1631546021
3.775, 0.1641743183
3.815, 0.1641743183
3.855, 0.1641743183
3.895, 0.1641743183
3.935, 0.1651940346
3.975, 0.1631546021
4.015, 0.1641743183
4.055, 0.1641743183
4.095, 0.1631546021
4.135, 0.1641743183
4.175, 0.1631546021
4.215, 0.1641743183
4.255, 0.1641743183
4.295, 0.1641743183
4.335, 0.1641743183
4.375, 0.1641743183
4.415, 0.1641743183
4.455, 0.1641743183
4.495, 0.1651940346
4.535, 0.1651940346
4.575, 0.1651940346
4.615, 0.1651940346
4.655, 0.1631546021
4.695, 0.1651940346
4.735, 0.1631546021
4.775, 0.1641743183
4.815, 0.1641743183
4.855, 0.1641743183
4.895, 0.1651940346
4.935, 0.1641743183
4.975, 0.1631546021
5.015, 0.1641743183
5.055, 0.1651940346
5.095, 0.1641743183
5.135, 0.1651940346
5.175, 0.1641743183
5.215, 0.1651940346
5.255, 0.1641743183
5.295, 0.1662137508
5.335, 0.1641743183
5.375, 0.1631546021
5.415, 0.1641743183
5.455, 0.1631546021
5.495, 0.1641743183
5.535, 0.1641743183
5.575, 0.1631546021
5.615, 0.1651940346
5.655, 0.1641743183
5.695, 0.1641743183
5.736, 0.1631546021
5.777, 0.1651940346
5.818, 0.1641743183
5.859, 0.1641743183
5.9, 0.1651940346
5.941, 0.1641743183
5.983, 0.1651940346
6.024, 0.1641743183
6.065, 0.1641743183
6.106, 0.1651940346
6.147, 0.1651940346
6.188, 0.1641743183
6.229, 0.1651940346
6.27, 0.1641743183
6.311, 0.1641743183
6.351, 0.1641743183
6.393, 0.1631546021
6.433, 0.1641743183
6.473, 0.1651940346
6.513, 0.1631546021
6.553, 0.1641743183
6.593, 0.1651940346
6.633, 0.1651940346
6.673, 0.1631546021
6.712, 0.1641743183
6.752, 0.1631546021
6.792, 0.1631546021
6.832, 0.1641743183
6.872, 0.1631546021
6.912, 0.1641743183
6.952, 0.1641743183
6.992, 0.1651940346
7.032, 0.1651940346
7.072, 0.1641743183
7.112, 0.1631546021
7.152, 0.1651940346
7.192, 0.1641743183
7.232, 0.1641743183
7.272, 0.1641743183
7.312, 0.1651940346
7.352, 0.1651940346
7.392, 0.1641743183
7.432, 0.1641743183
7.472, 0.1631546021
7.512, 0.1631546021
7.552, 0.1641743183
7.592, 0.1651940346
7.632, 0.1641743183
7.672, 0.1641743183
7.712, 0.1631546021
7.752, 0.1641743183
7.792, 0.1631546021
7.832, 0.1641743183
7.872, 0.1641743183
7.912, 0.1631546021
7.952, 0.1641743183
7.992, 0.1641743183
8.032, 0.1641743183
8.073, 0.1641743183
8.113, 0.1651940346
8.153, 0.1631546021
8.193, 0.1631546021
8.233, 0.1641743183
8.273, 0.1631546021
8.313, 0.1651940346
8.353, 0.1641743183
8.392, 0.1651940346
8.432, 0.1651940346
8.472, 0.1651940346
8.512, 0.1651940346
8.552, 0.1641743183
8.592, 0.1651940346
8.632, 0.1641743183
8.672, 0.1651940346
8.712, 0.1651940346
8.752, 0.1651940346
8.792, 0.1641743183
8.832, 0.1651940346
8.872, 0.1641743183
8.912, 0.1631546021
8.952, 0.1641743183
8.992, 0.1631546021
9.032, 0.1641743183
9.072, 0.1641743183
9.112, 0.1631546021
9.152, 0.1631546021
9.192, 0.1641743183
9.232, 0.1641743183
9.272, 0.1641743183
9.312, 0.1641743183
9.352, 0.1641743183
9.393, 0.1641743183
9.432, 0.1631546021
9.472, 0.1641743183
9.512, 0.1641743183
9.552, 0.1631546021
