time, value
0.055, 0.9891247749
0.095, 0.9881050587
0.135, 0.9881050587
0.175, 0.9891247749
0.215, 0.9901444912
0.255, 0.9881050587
0.295, 0.9891247749
0.335, 0.9901444912
0.375, 0.9881050587
0.415, 0.9891247749
0.455, 0.9901444912
0.495, 0.9901444912
0.535, 0.9891247749
0.575, 0.9901444912
0.615, 0.9891247749
0.655, 0.9901444912
0.695, 0.9901444912
0.735, 0.9901444912
0.775, 0.9891247749
0.815, 0.9881050587
0.855, 0.9891247749
0.895, 0.9891247749
0.935, 0.9901444912
0.975, 0.9901444912
1.015, 0.9901444912
1.055, 0.9891247749
1.095, 0.9901444912
1.135, 0.9891247749
1.175, 0.9891247749
1.215, 0.9891247749
1.255, 0.9891247749
1.295, 0.9891247749
1.335, 0.9891247749
1.375, 0.9891247749
1.415, 0.9901444912
1.455, 0.9901444912
1.495, 0.9891247749
1.535, 0.9881050587
1.575, 0.9891247749
1.615, 0.9891247749
1.655, 0.9891247749
1.695, 0.9891247749
1.735, 0.9901444912
1.775, 0.9901444912
1.815, 0.9891247749
1.855, 0.9881050587
1.895, 0.9901444912
1.935, 0.9901444912
1.975, 0.9891247749
2.015, 0.9901444912
2.055, 0.9901444912
2.095, 0.9891247749
2.135, 0.9901444912
2.175, 0.9891247749
2.215, 0.9891247749
2.255, 0.9891247749
2.295, 0.9891247749
2.335, 0.9891247749
2.375, 0.9891247749
2.415, 0.9891247749
2.455, 0.9911642075
2.495, 0.9881050587
2.535, 0.9891247749
2.575, 0.9881050587
2.615, 0.9921839237
2.655, 0.9881050587
2.695, 0.9901444912
2.735, 0.9911642075
2.775, 0.9891247749
2.815, 0.9891247749
2.855, 0.9891247749
2.895, 0.9911642075
2.935, 0.9891247749
2.975, 0.9891247749
3.015, 0.9901444912
3.055, 0.9881050587
3.095, 0.9881050587
3.135, 0.9891247749
3.175, 0.9901444912
3.215, 0.9881050587
3.255, 0.9891247749
3.295, 0.9901444912
3.335, 0.9891247749
3.375, 0.9891247749
3.415, 0.9901444912
3.455, 0.9911642075
3.495, 0.9881050587
3.535, 0.9891247749
3.575, 0.9881050587
3.615, 0.9881050587
3.655, 0.9891247749
3.695, 0.9901444912
3.735, 0.9881050587
3.775, 0.9891247749
3.815, 0.9901444912
3.855, 0.9891247749
3.895, 0.9891247749
3.935, 0.9891247749
3.975, 0.9901444912
4.015, 0.9891247749
4.055, 0.9891247749
4.095, 0.9891247749
4.135, 0.9891247749
4.175, 0.9891247749
4.215, 0.9891247749
4.255, 0.9901444912
4.295, 0.9881050587
4.335, 0.9881050587
4.375, 0.9891247749
4.415, 0.9901444912
4.455, 0.9891247749
4.495, 0.9891247749
4.535, 0.9891247749
4.575, 0.9891247749
4.615, 0.9901444912
4.655, 0.9881050587
4.695, 0.9891247749
4.735, 0.9901444912
4.775, 0.9891247749
4.815, 0.9901444912
4.855, 0.9901444912
4.895, 0.9901444912
4.935, 0.9901444912
4.975, 0.9891247749
5.015, 0.9891247749
5.055, 0.9881050587
5.095, 0.9881050587
5.135, 0.9901444912
5.175, 0.9901444912
5.215, 0.9891247749
5.255, 0.9891247749
5.295, 0.9901444912
5.335, 0.9891247749
5.375, 0.9891247749
5.415, 0.9891247749
5.455, 0.9891247749
5.495, 0.9891247749
5.535, 0.9891247749
5.575, 0.9901444912
5.615, 0.9891247749
5.655, 0.9881050587
5.695, 0.9901444912
5.736, 0.9891247749
5.777, 0.9891247749
5.818, 0.9891247749
5.859, 0.9901444912
5.9, 0.9881050587
5.941, 0.9891247749
5.983, 0.9901444912
6.024, 0.9901444912
6.065, 0.9911642075
6.106, 0.9891247749
6.147, 0.9891247749
6.188, 0.9891247749
6.229, 0.9891247749
6.27, 0.9891247749
6.311, 0.9891247749
6.351, 0.9891247749
6.393, 0.9901444912
6.433, 0.9891247749
6.473, 0.9891247749
6.513, 0.9891247749
6.553, 0.9891247749
6.593, 0.9891247749
6.633, 0.9901444912
6.673, 0.9891247749
6.712, 0.9891247749
6.752, 0.9891247749
6.792, 0.9891247749
6.832, 0.9891247749
6.872, 0.9901444912
6.912, 0.9901444912
6.952, 0.9891247749
6.992, 0.9891247749
7.032, 0.9891247749
7.072, 0.9891247749
7.112, 0.9891247749
7.152, 0.9891247749
7.192, 0.9901444912
7.232, 0.9891247749
7.272, 0.9901444912
7.312, 0.9881050587
7.352, 0.9881050587
7.392, 0.9891247749
7.432, 0.9891247749
7.472, 0.9891247749
7.512, 0.9891247749
7.552, 0.9891247749
7.592, 0.9901444912
7.632, 0.9891247749
7.672, 0.9891247749
7.712, 0.9901444912
7.752, 0.9901444912
7.792, 0.9901444912
7.832, 0.9891247749
7.872, 0.9891247749
7.912, 0.9891247749
7.952, 0.9891247749
7.992, 0.9891247749
8.032, 0.9881050587
8.073, 0.9891247749
8.113, 0.9901444912
8.153, 0.9901444912
8.193, 0.9891247749
8.233, 0.9901444912
8.273, 0.9891247749
8.313, 0.9901444912
8.353, 0.9901444912
8.392, 0.9891247749
8.432, 0.9891247749
8.472, 0.9891247749
8.512, 0.9901444912
8.552, 0.9891247749
8.592, 0.9901444912
8.632, 0.9901444912
8.672, 0.9891247749
8.712, 0.9911642075
8.752, 0.9891247749
8.792, 0.9901444912
8.832, 0.9891247749
8.872, 0.9881050587
8.912, 0.9901444912
8.952, 0.9891247749
8.992, 0.9901444912
9.032, 0.9891247749
9.072, 0.9891247749
9.112, 0.9901444912
9.152, 0.9891247749
9.192, 0.9901444912
9.232, 0.9891247749
9.272, 0.9911642075
9.312, 0.9891247749
9.352, 0.9891247749
9.393, 0.9891247749
9.432, 0.9891247749
9.472, 0.9891247749
9.512, 0.9891247749
9.552, 0.9891247749
9.592, 0.9891247749
9.632, 0.9891247749
9.672, 0.9901444912
9.712, 0.9901444912
9.752, 0.9901444912
9.793, 0.9891247749
9.833, 0.9891247749
9.873, 0.9891247749
9.913, 0.9891247749
9.953, 0.9891247749
9.993, 0.9891247749
