time, value
0.015, -0.009999999776
0.055, -0.009999999776
0.095, -0.009999999776
0.135, -0.009999999776
0.175, -0.01999999955
0.215, -0.009999999776
0.255, -0.01999999955
0.295, -0.01999999955
0.335, -0.009999999776
0.375, -0.01999999955
0.415, -0.01999999955
0.455, -0.01999999955
0.495, -0.01999999955
0.535, -0.009999999776
0.575, -0.009999999776
0.615, -0.009999999776
0.655, -0.009999999776
0.695, -0.01999999955
0.735, -0.009999999776
0.775, -0.009999999776
0.815, -0.009999999776
0.855, -0.009999999776
0.895, -0.009999999776
0.935, -0.009999999776
0.975, -0.01999999955
1.015, -0.009999999776
1.055, -0.009999999776
1.095, 0
1.135, -0.01999999955
1.175, -0.009999999776
1.215, -0.009999999776
1.255, -0.009999999776
1.295, -0.009999999776
1.335, -0.01999999955
1.375, -0.009999999776
1.415, -0.009999999776
1.455, -0.009999999776
1.495, -0.009999999776
1.535, -0.009999999776
1.575, -0.009999999776
1.615, -0.009999999776
1.655, -0.009999999776
1.695, -0.009999999776
1.735, -0.01999999955
1.775, -0.009999999776
1.815, -0.009999999776
1.855, -0.009999999776
1.895, -0.009999999776
1.935, -0.009999999776
1.975, -0.01999999955
2.015, -0.009999999776
2.055, -0.009999999776
2.095, -0.009999999776
2.135, -0.009999999776
2.175, -0.009999999776
2.215, -0.01999999955
2.255, -0.009999999776
2.295, -0.009999999776
2.335, -0.009999999776
2.375, -0.009999999776
2.415, -0.009999999776
2.455, -0.009999999776
2.495, -0.02999999933
2.535, -0.009999999776
2.575, -0.009999999776
2.615, -0.009999999776
2.655, -0.009999999776
2.695, -0.01999999955
2.735, -0.009999999776
2.775, -0.01999999955
2.815, -0.02999999933
2.855, 0
2.895, -0.009999999776
2.935, -0.01999999955
2.975, -0.009999999776
3.015, -0.009999999776
3.055, -0.01999999955
3.095, -0.01999999955
3.135, -0.009999999776
3.175, -0.01999999955
3.215, -0.009999999776
3.255, -0.009999999776
3.295, -0.009999999776
3.335, -0.01999999955
3.375, -0.009999999776
3.415, -0.009999999776
3.455, -0.009999999776
3.495, -0.009999999776
3.535, -0.009999999776
3.575, -0.009999999776
3.615, -0.009999999776
3.655, -0.009999999776
3.695, -0.01999999955
3.735, -0.009999999776
3.775, -0.009999999776
3.815, -0.01999999955
3.855, -0.009999999776
3.895, -0.009999999776
3.935, -0.009999999776
3.975, -0.009999999776
4.015, -0.01999999955
4.055, -0.01999999955
4.095, -0.009999999776
4.135, -0.01999999955
4.175, -0.009999999776
4.215, -0.009999999776
4.255, -0.009999999776
4.295, -0.009999999776
4.335, -0.01999999955
4.375, -0.009999999776
4.415, -0.01999999955
4.455, -0.01999999955
4.495, -0.009999999776
4.535, -0.01999999955
4.575, -0.01999999955
4.615, -0.009999999776
4.655, -0.01999999955
4.695, -0.009999999776
4.735, -0.009999999776
4.775, -0.009999999776
4.815, -0.01999999955
4.855, -0.009999999776
4.895, -0.009999999776
4.935, -0.009999999776
4.975, -0.01999999955
5.015, -0.01999999955
5.055, -0.009999999776
5.095, -0.009999999776
5.135, -0.009999999776
5.175, -0.009999999776
5.215, -0.009999999776
5.255, -0.009999999776
5.295, -0.01999999955
5.335, -0.009999999776
5.375, -0.01999999955
5.415, -0.009999999776
5.455, -0.01999999955
5.496, -0.01999999955
5.536, -0.009999999776
5.576, -0.01999999955
5.616, -0.009999999776
5.656, -0.009999999776
5.696, -0.009999999776
5.737, -0.009999999776
5.778, -0.009999999776
5.819, -0.009999999776
5.86, -0.009999999776
5.901, -0.009999999776
5.942, -0.009999999776
5.983, -0.01999999955
6.024, -0.009999999776
6.065, -0.009999999776
6.106, -0.009999999776
6.147, -0.009999999776
6.188, -0.009999999776
6.229, -0.01999999955
6.27, -0.009999999776
6.311, -0.01999999955
6.352, -0.009999999776
6.393, -0.009999999776
6.433, -0.009999999776
6.473, -0.01999999955
6.513, -0.009999999776
6.553, -0.01999999955
6.593, 0
6.633, -0.01999999955
6.673, -0.009999999776
6.712, -0.01999999955
6.752, -0.009999999776
6.792, -0.01999999955
6.832, -0.01999999955
6.872, -0.01999999955
6.912, -0.01999999955
6.952, -0.009999999776
6.992, -0.009999999776
7.032, -0.01999999955
7.072, -0.01999999955
7.112, -0.01999999955
7.152, -0.009999999776
7.192, -0.009999999776
7.232, -0.009999999776
7.272, -0.01999999955
7.312, -0.009999999776
7.353, -0.009999999776
7.393, -0.01999999955
7.433, -0.01999999955
7.473, -0.009999999776
7.513, -0.01999999955
7.553, -0.01999999955
7.593, -0.009999999776
7.633, -0.009999999776
7.673, -0.009999999776
7.713, -0.01999999955
7.753, -0.009999999776
7.793, -0.009999999776
7.833, -0.009999999776
7.873, -0.009999999776
7.913, -0.009999999776
7.953, -0.009999999776
7.993, -0.01999999955
8.033, -0.009999999776
8.073, -0.009999999776
8.113, -0.009999999776
8.153, -0.009999999776
8.193, -0.009999999776
8.233, -0.009999999776
8.273, -0.009999999776
8.313, -0.009999999776
8.353, -0.01999999955
8.392, -0.01999999955
8.432, -0.009999999776
8.472, -0.009999999776
8.512, -0.009999999776
8.552, -0.009999999776
8.592, -0.009999999776
8.632, -0.01999999955
8.672, -0.009999999776
8.712, -0.009999999776
8.752, -0.009999999776
8.792, -0.009999999776
8.832, -0.01999999955
8.872, -0.01999999955
8.912, -0.01999999955
8.952, -0.009999999776
8.992, -0.01999999955
9.032, -0.01999999955
9.072, -0.009999999776
9.112, -0.009999999776
9.153, -0.01999999955
9.193, -0.009999999776
9.233, -0.009999999776
9.273, -0.01999999955
9.313, -0.009999999776
9.353, -0.009999999776
9.393, -0.009999999776
9.433, -0.01999999955
9.473, -0.009999999776
9.513, -0.009999999776
9.553, -0.01999999955
9.593, -0.009999999776
9.633, -0.009999999776
9.673, -0.009999999776
9.713, -0.01999999955
9.753, -0.01999999955
9.793, -0.009999999776
9.833, -0.009999999776
9.873, -0.01999999955
9.913, -0.009999999776
9.953, -0.009999999776
9.993, -0.01999999955
