time, value
0.015, 0
0.055, 0
0.095, 0
0.135, 0
0.175, 0.009999999776
0.215, 0
0.255, 0
0.295, 0
0.335, 0
0.375, 0
0.415, 0
0.455, 0.009999999776
0.495, 0
0.535, 0
0.575, 0
0.615, 0
0.655, 0
0.695, 0
0.735, 0
0.775, 0
0.815, 0
0.855, 0
0.895, 0
0.935, 0
0.975, 0
1.015, 0
1.055, 0
1.095, 0
1.135, 0
1.175, 0
1.215, 0
1.255, 0
1.295, 0
1.335, 0
1.375, 0
1.415, 0
1.455, 0
1.495, 0
1.535, 0
1.575, 0
1.615, 0
1.655, 0
1.695, 0
1.735, 0
1.775, 0
1.815, 0
1.855, 0
1.895, 0
1.935, 0
1.975, 0
2.015, 0
2.055, 0
2.095, 0
2.135, 0
2.175, 0
2.215, 0.009999999776
2.255, 0
2.295, 0
2.335, 0
2.375, 0
2.415, 0
2.455, 0
2.495, 0.009999999776
2.535, 0
2.575, 0.009999999776
2.615, 0
2.655, 0
2.695, 0.009999999776
2.735, 0
2.775, 0
2.815, 0.009999999776
2.855, 0
2.895, 0
2.935, 0
2.975, 0
3.015, 0
3.055, 0
3.095, 0
3.135, 0.009999999776
3.175, 0
3.215, 0
3.255, 0
3.295, 0
3.335, 0
3.375, 0
3.415, 0
3.455, 0
3.495, 0
3.535, 0
3.575, 0
3.615, 0
3.655, 0
3.695, 0
3.735, 0
3.775, 0
3.815, 0
3.855, 0
3.895, 0
3.935, 0
3.975, 0
4.015, 0
4.055, 0
4.095, 0
4.135, 0
4.175, 0
4.215, 0.009999999776
4.255, 0
4.295, 0
4.335, 0
4.375, 0
4.415, 0
4.455, 0
4.495, 0
4.535, 0
4.575, 0
4.615, 0
4.655, 0
4.695, 0
4.735, 0
4.775, 0
4.815, 0.009999999776
4.855, 0
4.895, 0
4.935, 0
4.975, 0
5.015, 0
5.055, 0
5.095, 0
5.135, 0
5.175, 0
5.215, 0
5.255, 0
5.295, 0
5.335, 0
5.375, 0
5.415, 0
5.455, 0
5.496, 0.009999999776
5.536, 0
5.576, 0
5.616, 0
5.656, 0
5.696, 0
5.737, 0
5.778, 0
5.819, 0
5.86, 0
5.901, 0
5.942, 0
5.983, 0
6.024, 0
6.065, 0
6.106, 0
6.147, 0
6.188, 0
6.229, 0
6.27, 0
6.311, 0.009999999776
6.352, 0.009999999776
6.393, 0.009999999776
6.433, 0.009999999776
6.473, 0
6.513, 0.009999999776
6.553, 0
6.593, 0
6.633, 0
6.673, 0
6.712, 0.009999999776
6.752, 0
6.792, 0
6.832, 0.009999999776
6.872, 0
6.912, 0
6.952, 0
6.992, 0
7.032, 0
7.072, 0
7.112, 0
7.152, 0
7.192, 0.009999999776
7.232, 0
7.272, 0.009999999776
7.312, 0
7.353, 0.009999999776
7.393, 0
7.433, 0
7.473, 0
7.513, 0
7.553, 0
7.593, 0
7.633, 0
7.673, 0
7.713, 0
7.753, 0
7.793, 0
7.833, 0
7.873, 0
7.913, 0
7.953, 0
7.993, 0.009999999776
8.033, 0
8.073, 0
8.113, 0
8.153, 0
8.193, 0
8.233, 0
8.273, 0
8.313, 0
8.353, 0
8.392, 0
8.432, 0
8.472, 0
8.512, 0
8.552, 0
8.592, 0
8.632, 0.009999999776
8.672, 0
8.712, 0
8.752, 0
8.792, 0
8.832, 0
8.872, 0.009999999776
8.912, 0
8.952, 0
8.992, 0.009999999776
9.032, 0
9.072, 0
9.112, 0
9.153, 0
9.193, 0
9.233, 0
9.273, 0
9.313, 0
9.353, 0
9.393, 0
9.433, 0
9.473, 0
9.513, 0
9.553, 0.009999999776
9.593, 0
9.633, 0
9.673, 0
9.713, 0
9.753, 0
9.793, 0
9.833, 0
9.873, 0
9.913, 0
9.953, 0
9.993, 0.009999999776
