time, value
0.016, 11.77999973
0.056, 6.089999676
0.096, 2.299999952
0.136, 2.960000038
0.176, -0.8700000048
0.216, -18.04999924
0.256, -17.86999893
0.296, -4.239999771
0.336, -0.5500000119
0.376, 5.440000057
0.416, 3.309999943
0.456, -5.449999809
0.496, 4.449999809
0.536, 7.289999962
0.576, 12.06999969
0.616, -3.279999971
0.656, -9.380000114
0.696, -0.009999999776
0.736, -5.460000038
0.776, -2.409999847
0.816, -9.460000038
0.856, -14.07999992
0.896, -4
0.936, -14.98999977
0.976, -9.309999466
1.016, -11.85999966
1.056, -15.65999985
1.096, 0.8999999762
1.136, 3.319999933
1.176, 2.589999914
1.216, 6.549999714
1.256, 4.960000038
1.296, 3.569999933
1.336, -3.149999857
1.376, 7.049999714
1.416, 13.00999928
1.456, 1.75
1.496, -14.85999966
1.536, -18.28999901
1.576, 3.970000029
1.616, 24.89999962
1.656, 12.75999928
1.696, -7.779999733
1.736, -12.0199995
1.776, -3.939999819
1.816, -2.159999847
1.856, -1.129999995
1.896, 4.429999828
1.936, 9.829999924
1.976, -0.6399999857
2.016, -13.46000004
2.056, 1.50999999
2.096, 14.92999935
2.136, 5.739999771
2.176, -2.730000019
2.216, -3.849999905
2.256, 0.3899999857
2.296, 4.279999733
2.336, -1.5
2.376, -7.239999771
2.416, -6.659999847
2.456, -0.969999969
2.496, 4.829999924
2.536, 1.610000014
2.576, 10.92000008
2.616, 23.43999863
2.656, 37.5
2.696, 55.20999908
2.736, 48.59999847
2.776, 39.86999893
2.816, 10.01000023
2.856, 34.22999954
2.896, 18.93999863
2.936, -31.54999924
2.976, 2.24000001
3.016, -3.980000019
3.056, -1.449999928
3.096, -7.679999828
3.136, -10.07999992
3.176, 0.5399999619
3.216, -1.799999952
3.256, -8.119999886
3.296, 2.859999895
3.336, -7.059999943
3.376, -16.70999908
3.416, -7.399999619
3.456, 3.029999971
3.496, 2.529999971
3.536, 2.779999971
3.576, 7.549999714
3.616, 5.839999676
3.656, 7.119999886
3.696, 1.159999967
3.736, -5.230000019
3.776, -8.510000229
3.816, -4.650000095
3.856, -0.2599999905
3.896, -2.230000019
3.936, -12.92000008
3.976, -8.989999771
4.016, 1.019999981
4.056, -2.960000038
4.096, -1.49000001
4.136, -0.4199999869
4.176, -5.269999981
4.216, -0.1799999923
4.256, 0.04999999702
4.296, -1.839999914
4.336, -1.029999971
4.376, -1.179999948
4.416, 3.309999943
4.456, -2.190000057
4.496, -0.1599999964
4.536, 0.6800000072
4.576, 0.04999999702
4.616, 1.579999924
4.656, -0.2800000012
4.696, -1.689999938
4.736, -1.849999905
4.776, -1.00999999
4.816, -0.9199999571
4.856, 0.3700000048
4.896, -2.299999952
4.936, -1.549999952
4.976, -0.4399999976
5.016, 0.6299999952
5.056, -3.069999933
5.096, -0.0700000003
5.136, 1.399999976
5.176, 3.039999962
5.216, -0.4399999976
5.256, 4.589999676
5.296, 4.759999752
5.336, 6.359999657
5.376, -0.1099999994
5.416, 5.069999695
5.456, -1.860000014
5.496, -1.9799999
5.536, -1.579999924
5.576, -3.169999838
5.616, 0.4199999869
5.656, -9.239999771
5.696, -8.529999733
5.737, -8.25
5.778, -11.55999947
5.819, -27.11999893
5.86, -48.47999954
5.901, -56.87999725
5.942, -71.81999969
5.983, -71.40000153
6.024, -65.88999939
6.065, -59.64999771
6.106, -83.18000031
6.147, -88.04999542
6.188, -77.54999542
6.229, -77.72999573
6.27, -91.5
6.311, -102.909996
6.352, -116.6399994
6.392, -118.1399994
6.432, -107.7200012
6.472, -143.6799927
6.512, -159.25
6.552, -149.0399933
6.592, -139.1499939
6.632, -73.16999817
6.672, -52.40999985
6.713, -24.31999969
6.753, -21.70999908
6.793, -21.87999916
6.833, -26.65999985
6.873, -25.23999977
6.913, -21.8599987
6.953, -4.670000076
6.993, -2.690000057
7.033, 4.75
7.073, -3.379999876
7.113, 2.440000057
7.153, -2.939999819
7.193, -2.089999914
7.233, -1.059999943
7.273, 1.539999962
7.313, 7.980000019
7.353, 0.1700000018
7.393, -8.630000114
7.433, -3.929999828
7.473, 4.610000134
7.513, 6.489999771
7.553, 0.9799999595
7.593, -4.21999979
7.633, -1.279999971
7.673, 1.209999919
7.713, 4.089999676
7.753, 3.829999924
7.793, -9.179999352
7.833, -5.619999886
7.873, -2.819999933
7.913, 1.949999928
7.953, 1.879999995
7.993, 2.389999866
8.033, -1.090000033
8.073, 0.3799999952
8.113, -0.1099999994
8.153, 5.279999733
8.193, 4.819999695
8.233, 3.679999828
8.273, -0.05999999866
8.313, 0.05999999866
8.353, 1.159999967
8.393, 1.629999995
8.433, -0.9300000072
8.473, 1
8.513, 0.5799999833
8.553, 3.429999828
8.593, 7.589999676
8.633, 6.199999809
8.673, 2.309999943
8.713, -1.289999962
8.753, 2.349999905
8.793, 5.509999752
8.833, 7.46999979
8.873, 3.359999895
8.913, 1.730000019
8.953, 4.929999828
8.993, 8.069999695
9.033, 1.779999971
9.073, -5.380000114
9.113, -9.269999504
9.153, -8.789999962
9.193, -11.85999966
9.233, -6.879999638
9.273, 4.019999981
9.313, 7.25
9.353, 1.370000005
9.393, -4.329999924
9.433, -4.089999676
9.473, -1.74000001
9.513, -6.71999979
9.553, -9.050000191
9.593, -4.21999979
9.633, 4.769999981
9.673, 7.899999619
9.713, 3.019999981
9.753, -3.019999981
9.793, -1.969999909
9.833, 1.110000014
9.873, 2.519999981
9.913, 1.620000005
9.953, -1.299999952
9.993, -2.25999999
