time, value
0.018, -0.05999999866
0.058, 0.0700000003
0.098, -0.01999999955
0.138, 0.5099999905
0.178, 0.5999999642
0.218, 0.4599999785
0.258, 0.1099999994
0.297, 0.01999999955
0.337, -0.2999999821
0.377, -0.7899999619
0.417, -0.5399999619
0.457, -0.5699999928
0.497, -0.4199999869
0.537, 0.009999999776
0.577, 0.1099999994
0.617, 0.4199999869
0.657, 0.5699999928
0.697, 0.5199999809
0.737, 0.2699999809
0.777, -0.2199999988
0.817, -0.3299999833
0.857, -0.25
0.897, -0.1799999923
0.937, -0.2699999809
0.977, -0.1099999994
1.017, 0.1999999881
1.057, -0.01999999955
1.096, 0.1400000006
1.136, 0.3299999833
1.176, -0.1499999911
1.216, -0.2999999821
1.256, -0.2599999905
1.296, -0.1700000018
1.336, -0.1700000018
1.376, -0.2199999988
1.416, -0.1299999952
1.456, 0.03999999911
1.496, -0.1199999973
1.536, -0.1499999911
1.576, -0.1499999911
1.616, -0.1700000018
1.656, 0
1.696, -0.04999999702
1.736, 0
1.776, -0.07999999821
1.816, 0.09999999404
1.856, 0.08999999613
1.895, 0.02999999933
1.935, -0.01999999955
1.975, 0.009999999776
2.015, 0.2199999988
2.055, 0.2899999917
2.095, 0.1999999881
2.135, 0
2.175, -0.08999999613
2.215, -0.2999999821
2.255, -0.2899999917
2.295, -0.1400000006
2.335, 0.1400000006
2.375, 0.0700000003
2.415, -0.01999999955
2.455, -0.1199999973
2.495, -0.2800000012
2.535, -0.3700000048
2.575, -0.4299999774
2.615, -0.3899999857
2.655, 0.01999999955
2.695, 0.2099999934
2.734, 0.1099999994
2.774, -0.01999999955
2.814, -0.04999999702
2.854, -0.2099999934
2.894, -0.2199999988
2.934, -0.04999999702
2.974, -0.04999999702
3.014, 0
3.054, -0.07999999821
3.094, -0.5299999714
3.134, -0.4299999774
3.174, 0.09999999404
3.214, -0.03999999911
3.254, -0.1400000006
3.294, -0.04999999702
3.334, -0.05999999866
3.374, 0
3.414, 0
3.454, -0.03999999911
3.494, -0.09999999404
3.534, 0.04999999702
3.574, 0.07999999821
3.613, 0.09999999404
3.653, 0.02999999933
3.693, 0.0700000003
3.733, 0.03999999911
3.773, -0.03999999911
3.813, -0.02999999933
3.853, -0.03999999911
3.893, -0.08999999613
3.933, 0
3.973, 0.04999999702
4.013, 0
4.053, -0.1299999952
4.093, 0
4.133, -0.02999999933
4.173, -0.0700000003
4.213, 0.09999999404
4.253, 0.0700000003
4.293, 0.08999999613
4.333, 0.2199999988
4.373, 0.1700000018
4.412, -0.1199999973
4.452, 0.04999999702
4.492, -0.0700000003
4.532, -0.1899999976
4.572, -0.01999999955
4.612, 0.01999999955
4.652, 0
4.692, 0.1299999952
4.732, 0.0700000003
4.772, 0.1199999973
4.812, -0.1799999923
4.852, -0.3299999833
4.892, -0.3199999928
4.932, -0.4099999964
4.972, -0.25
5.012, 0.2299999893
5.052, 0.4399999976
5.091, 0.3799999952
5.131, 0.2199999988
5.171, 0
5.211, -0.2299999893
5.251, -0.4099999964
5.291, -0.6999999881
5.331, -2.079999924
5.371, -2.919999838
5.411, -1.699999928
5.451, -0.8700000048
5.491, -1.829999924
5.531, -1.209999919
5.571, -0.25
5.611, 0.03999999911
5.651, 0.3299999833
5.691, -1.139999986
5.731, -1.860000014
5.771, -2.049999952
5.81, -0.9300000072
5.85, 1.789999962
5.89, 0.5799999833
5.93, 0.4599999785
5.97, 0.1400000006
6.01, -0.75
6.05, -0.05999999866
6.09, -0.5299999714
6.13, -0.5500000119
6.17, -0.6800000072
6.21, -2.099999905
6.25, -1.209999919
6.29, -0.09999999404
6.33, -0.1299999952
6.37, -0.3400000036
6.41, -0.8700000048
6.45, -0.8899999857
6.489, -0.7999999523
6.529, -1.269999981
6.569, -1.969999909
6.609, -0.1999999881
6.649, -1.309999943
6.689, -2.75999999
6.729, -1.559999943
6.769, -1.149999976
6.809, -2.190000057
6.849, 1.579999924
6.889, -2.319999933
6.929, -2.799999952
6.969, -0.8499999642
7.009, 2.359999895
7.049, 0.5699999928
7.089, -2.079999924
7.129, -2.939999819
7.169, -3.089999914
7.208, 1.929999948
7.248, 3.089999914
7.288, -0.07999999821
7.328, 0.8499999642
7.368, 0.9399999976
7.408, 1.429999948
7.448, 2.149999857
7.488, 0.8799999952
7.528, 0.09999999404
7.568, 0.4799999893
7.608, 1.50999999
7.648, -0.4599999785
7.688, -1.449999928
7.728, -1
7.768, -0.4299999774
7.808, -0.25
7.848, -0.2599999905
7.888, -0.6899999976
7.928, -0.2999999821
7.968, -0.3199999928
8.007, -0.05999999866
8.047, -0.8799999952
8.087, -1.169999957
8.127, -1.209999919
8.167, -0.9099999666
8.207, -0.3199999928
8.247, 0.2899999917
8.287, 1.029999971
8.327, 1.24000001
8.367, 0.4199999869
8.407, -0.2399999946
8.447, -0.4099999964
8.487, -0.7799999714
8.527, -1.159999967
8.567, -1.199999928
8.607, -0.9199999571
8.647, -0.1400000006
8.687, 0.08999999613
8.727, -0.4599999785
8.767, -1.139999986
8.806, -1.269999981
8.846, -0.1499999911
8.886, -0.4399999976
8.926, -0.8499999642
8.966, -1.949999928
9.006, -1.99000001
9.046, -0.6800000072
9.086, 0.1400000006
9.126, 0.08999999613
9.166, -0.6599999666
9.206, -0.1999999881
9.246, 0.25
9.286, -0.5099999905
9.326, -0.5
9.366, -0.5199999809
9.406, -0.8499999642
9.446, -0.6899999976
9.486, 0.6200000048
9.526, 0.7599999905
9.565, -1.059999943
9.605, -2.119999886
9.645, -2.679999828
9.685, -1.49000001
9.725, 0.3599999845
9.765, -0.5099999905
9.805, 1.559999943
9.845, 3.329999924
9.885, 3.5
9.925, 3.909999847
9.965, 5.5
10.005, 4.670000076
10.045, 3.980000019
10.085, 2.589999914
