time, value
0.018, 0.5500000119
0.058, -0.2899999917
0.098, -0.8100000024
0.138, -0.7799999714
0.178, -0.7599999905
0.218, -0.7400000095
0.258, -0.7799999714
0.298, 0.02999999933
0.338, 1.120000005
0.377, 0.2399999946
0.417, -0.009999999776
0.457, 0.6100000143
0.497, 0.6999999881
0.537, 0.3700000048
0.577, -0.1400000006
0.617, -0.5
0.657, -0.7699999809
0.697, -0.5600000024
0.737, -0.2299999893
0.777, 0.03999999911
0.817, 0.1899999976
0.857, 0.2699999809
0.897, 0.01999999955
0.937, 0.2399999946
0.977, 0.5799999833
1.017, 0.2899999917
1.057, 0.1499999911
1.097, 0.1700000018
1.137, -0.1099999994
1.176, 0.2199999988
1.216, 0.3700000048
1.256, 0.3100000024
1.296, 0.349999994
1.336, 0.2299999893
1.376, 0.1599999964
1.416, 0.1199999973
1.456, 0.009999999776
1.496, 0
1.536, 0.03999999911
1.576, 0.09999999404
1.616, 0.1199999973
1.656, 0.1099999994
1.696, 0.05999999866
1.736, -0.1099999994
1.776, -0.04999999702
1.816, -0.2299999893
1.856, -0.08999999613
1.896, 0.009999999776
1.936, -0.009999999776
1.975, 0.01999999955
2.015, -0.03999999911
2.055, -0.02999999933
2.095, -0.1199999973
2.135, -0.1799999923
2.175, -0.0700000003
2.215, 0.2599999905
2.255, 0.1299999952
2.295, -0.04999999702
2.335, -0.2299999893
2.375, -0.2199999988
2.415, -0.0700000003
2.455, 0.05999999866
2.495, 0.4299999774
2.535, 0.3999999762
2.575, 0.2999999821
2.615, 0.2399999946
2.655, 0.1700000018
2.695, 0.1199999973
2.735, 0.1299999952
2.775, 0.07999999821
2.814, 0.0700000003
2.854, 0.1999999881
2.894, 0.1899999976
2.934, 0.0700000003
2.974, -0.03999999911
3.014, -0.03999999911
3.054, -0.02999999933
3.094, -0.1700000018
3.134, 0.01999999955
3.174, 0.0700000003
3.214, 0.08999999613
3.254, 0.1899999976
3.294, 0.09999999404
3.334, 0
3.374, 0.03999999911
3.414, -0.009999999776
3.454, -0.03999999911
3.494, -0.02999999933
3.534, -0.1700000018
3.574, -0.1700000018
3.614, -0.1599999964
3.654, 0.03999999911
3.693, 0.04999999702
3.733, 0
3.773, 0.03999999911
3.813, 0.1499999911
3.853, 0.05999999866
3.893, 0.09999999404
3.933, 0.02999999933
3.973, 0.2699999809
4.013, 0.3599999845
4.053, 0.1199999973
4.093, -0.01999999955
4.133, -0.01999999955
4.173, -0.03999999911
4.213, -0.1599999964
4.253, -0.04999999702
4.293, -0.1199999973
4.333, -0.3899999857
4.373, -0.2599999905
4.413, -0.05999999866
4.453, -0.02999999933
4.492, 0.3599999845
4.532, 0.2199999988
