time, value
0.038, 12.53125
0.108, 13.3671875
0.188, 13.6953125
0.258, 13.1484375
0.338, 13.8671875
0.408, 14.015625
0.488, 12.3046875
0.558, 12.0625
0.638, 13.2421875
0.708, 12.171875
0.788, 13.859375
0.858, 14.09375
0.938, 10.7890625
1.008, 13.6640625
1.088, 11.2734375
1.158, 13.6171875
1.238, 10.828125
1.308, 13.6640625
1.388, 14.078125
1.458, 12.6484375
1.538, 12.375
1.608, 14.1640625
1.688, 12.6640625
1.758, 11.765625
1.838, 13.6171875
1.908, 11.8515625
1.988, 13.6171875
2.058, 13.625
2.138, 13.5234375
2.208, 12.4453125
2.288, 11.9140625
2.358, 13.1015625
2.438, 11.015625
2.508, 12.53125
2.588, 12.5390625
2.658, 12.8671875
2.738, 13.421875
2.808, 13.234375
2.888, 14.5390625
2.958, 13.171875
3.038, 12.734375
3.108, 13.078125
3.188, 12.2578125
3.258, 12.5390625
3.338, 13.4921875
3.408, 13.3671875
3.488, 13.609375
3.558, 11.5390625
3.638, 13.546875
3.708, 11.125
3.788, 12.5703125
3.858, 13.125
3.938, 12.1640625
4.008, 13.4296875
4.088, 11.9453125
4.158, 13.0078125
4.238, 12.3203125
4.308, 10.671875
4.388, 10.859375
4.458, 12.390625
4.538, 14.140625
4.608, 12.3046875
4.688, 11.6171875
4.758, 13.1640625
4.838, 12.8125
4.908, 11.640625
4.988, 12.6796875
5.058, 11.5234375
5.138, 12.8671875
5.208, 14.2265625
5.288, 13.65625
5.358, 13.4765625
5.438, 13.21875
5.508, 12.2109375
5.588, 12.1953125
5.658, 12.3515625
5.738, 14.375
5.808, 13.0078125
5.888, 13.1328125
5.958, 12.84375
6.038, 13.1328125
6.108, 13.84375
6.188, 15.09375
6.258, 12.75
6.338, 13.296875
6.408, 14.484375
6.488, 10.9140625
6.558, 12.5546875
6.638, 11.625
6.708, 11.5546875
6.788, 13.7890625
6.858, 14.1328125
6.938, 13.2578125
7.008, 13.375
7.088, 12.890625
7.158, 12.7421875
7.238, 13.6953125
7.308, 12.7421875
7.388, 14.3203125
7.458, 13.1171875
7.538, 13.109375
7.608, 14.0078125
7.688, 12.3984375
7.758, 12.7109375
7.838, 12.4765625
7.908, 12.6796875
7.988, 12.390625
8.058, 13.9609375
8.138, 11.625
8.208, 13.078125
8.288, 12.328125
8.358, 13.15625
8.438, 10.765625
8.508, 14.09375
8.588, 12.5390625
8.658, 12.9375
8.738, 13.0703125
8.808, 14.265625
8.888, 13.0625
8.958, 12.03125
9.038, 12.9296875
9.108, 12.4453125
9.188, 11.3125
9.258, 13.203125
