time, value
0.001, -0.6526184082
0.355, -0.6495592594
0.709, -0.6434409618
1.063, -0.6648550034
1.417, -0.6719930172
1.771, -0.6648550034
2.125, -0.6730127335
2.479, -0.694426775
2.833, -0.6964662075
3.187, -0.694426775
3.541, -0.7025845051
3.895, -0.694426775
4.249, -0.6954464912
4.603, -0.6913676262
4.957, -0.6893281937
5.311, -0.6934070587
5.666, -0.6954464912
6.02, -0.6872887611
6.374, -0.675052166
6.728, -0.9228432178
7.082, -0.752550602
7.436, -0.7158408165
7.79, -0.7158408165
8.144, -0.7168605328
8.498, -0.7199196815
8.852, -0.7260379791
