time, value
0.001, -0.2477910519
0.355, -0.2284164429
0.709, -0.2284164429
1.063, -0.2100615501
1.417, -0.2100615501
1.771, -0.2080221176
2.125, -0.2080221176
2.479, -0.1927263737
2.833, -0.1804897785
3.187, -0.1753911972
3.541, -0.1723320484
3.895, -0.1702926159
4.249, -0.1682531834
4.603, -0.1631546021
4.957, -0.1672334671
5.311, -0.1651940346
5.666, -0.1662137508
6.02, -0.1713123322
6.374, -0.2039432526
6.728, 0.06628155708
7.082, 0.07749843597
7.436, 0.08259701729
7.79, 0.07647871971
8.144, 0.08055758476
8.498, 0.08157730103
8.852, 0.08667588234
