time, value
0.001, -0.6006128788
0.355, -0.6108100414
0.709, -0.6148889065
1.063, -0.6036720276
1.417, -0.5995931625
1.771, -0.5985734463
2.125, -0.5965340137
2.479, -0.5842974186
2.833, -0.5791988373
3.187, -0.5791988373
3.541, -0.5822579861
3.895, -0.5832777023
4.249, -0.5842974186
4.603, -0.5873565674
4.957, -0.5883762836
5.311, -0.5883762836
5.666, -0.5842974186
6.02, -0.5802185535
6.374, -0.4027879238
6.728, 0.4456160069
7.082, 0.6821901798
7.436, 0.6821901798
7.79, 0.679131031
8.144, 0.6811704636
8.498, 0.6730127335
8.852, 0.6689338684
