time, value
0.001, -0.2299999893
0.355, -0.009999999776
0.709, -0.2199999988
1.063, -0.04999999702
1.417, -0.03999999911
1.771, -0.2099999934
2.125, -0.2099999934
2.479, -0.1799999923
2.833, -0.1899999976
3.187, -0.04999999702
3.541, 0
3.895, -0.1199999973
4.249, -0.07999999821
4.603, -0.02999999933
4.957, 0
5.311, 0.03999999911
5.666, 0.04999999702
6.02, 0.6999999881
6.374, 1.699999928
6.728, -2.109999895
7.082, 0.2999999821
7.436, -0.009999999776
7.79, -0.05999999866
8.144, -0.009999999776
8.498, 0.1400000006
8.852, 0.04999999702
