time, value
0.001, 4.029999733
0.355, -1.480000019
0.709, -1.620000005
1.063, -2.539999962
1.417, -0.5799999833
1.771, -3.019999981
2.125, -2.200000048
2.479, 0.1499999911
2.833, -0.4599999785
3.187, 3.829999924
3.541, 0.7599999905
3.895, 0.7599999905
4.249, 2.220000029
4.604, -3.359999895
4.958, -3.529999971
5.312, -4.269999981
5.666, -1.610000014
6.02, -3.579999924
6.374, 16.69000053
6.728, 47.68000031
7.082, 36.29999924
7.436, 35.80999756
7.79, 36.61999893
8.144, 35.65999985
8.498, 35.14999771
8.852, 34.84999847
