time, value
0.001, 0.8199999928
0.355, -4.889999866
0.709, -6.339999676
1.063, -13.69999981
1.417, -12.47999954
1.771, -10.38999939
2.125, -13.96000004
2.479, -15.2699995
2.833, -18.77999878
3.187, -20.03999901
3.541, -21.93000031
3.895, -21.29999924
4.249, -22.18999863
4.604, -20.26000023
4.958, -21.05999947
5.312, -24.14999962
5.666, -22.34000015
6.02, -15.60999966
6.374, 0.6399999857
6.728, -44.00999832
7.082, -52.48999786
7.436, -54.25
7.79, -49.63999939
8.144, -47.84000015
8.498, -51.30999756
8.852, -52.73999786
