time, value
0, -4.448480606
0.354, -4.448480606
0.708, -4.361628056
1.062, -4.448480606
1.417, -4.448480606
1.771, -4.448480606
2.125, -4.361628056
2.479, -4.448480606
2.833, -4.361628056
3.187, -4.361628056
3.541, -4.361628056
3.895, -4.361628056
4.249, -4.448480606
4.603, -4.361628056
4.957, -4.448480606
5.311, -4.361628056
5.665, -4.361628056
6.019, -4.448480606
6.373, -4.448480606
6.727, -4.448480606
7.081, -4.361628056
7.435, -4.448480606
7.79, -4.361628056
8.144, -4.448480606
8.498, -4.361628056
8.852, -4.361628056
