time, value
0.043, 0
0.143, 0
0.243, 0
0.343, 0
0.443, 0
0.543, 0
0.643, 0
0.743, 0
0.843, 0
0.943, 0
1.043, 0
1.143, 0
1.243, 0
1.343, 0
1.443, 0
1.543, 0
1.643, 0
1.743, 0
1.843, 0
1.943, 0
2.044, 0
2.143, 0
2.243, 0
2.343, 0
2.443, 0
2.544, 0
2.643, 0
2.743, 0
2.843, 0
2.944, 0
3.043, 0
3.143, 0
3.243, 0
3.343, 0
3.443, 0
3.543, 0
3.643, 0
3.743, 0
3.843, 0
3.944, 0
4.043, 0
4.143, 0
4.243, 0
4.343, 0
4.443, 0
4.543, 0
4.643, 0
4.743, 0
4.843, 0
4.943, 0
5.043, 0
5.143, 0
5.243, 0
5.343, 0
5.443, 0
5.544, 0
5.643, 0
5.743, 0
5.843, 0
5.943, 0
6.043, 0
6.144, 0
6.244, 0
6.344, 0
6.443, 0
6.543, 0
6.643, 0
6.743, 0
6.843, 0
6.943, 0
7.043, 0
7.143, 0
7.243, 0
7.343, 0
7.443, 0
7.543, 0
7.643, 0
7.743, 0
7.844, 0
7.943, 0
8.043, 0
8.143, 0
8.243, 0
8.343, 0
8.443, 0
8.543, 0
8.643, 0
8.743, 0
8.843, 0
8.943, 0
9.043, 0
9.143, 0
9.243, 0
9.343, 0
9.443, 0
9.543, 0
9.643, 0
9.743, 0
9.843, 0
9.943, 0
10.043, 0
10.143, 0
10.243, 0
10.343, 0
10.443, 0
10.543, 0
10.643, 0
10.743, 0
10.843, 0
10.943, 0
11.043, 0
11.143, 0
11.243, 0
11.343, 0
11.443, 0
11.543, 0
11.643, 0
11.743, 0
11.843, 0
11.943, 0
12.044, 0
12.143, 0
12.243, 0
12.343, 0
12.443, 0
12.543, 0
12.643, 0
12.743, 0
12.843, 0
12.943, 0
13.043, 0
13.144, 0
13.243, 0
13.343, 0
13.443, 0
13.543, 0
13.643, 0
13.743, 0
13.843, 0
13.943, 0
14.043, 0
14.143, 0
14.243, 0
14.343, 0
14.443, 0
14.543, 0
14.643, 0
14.743, 0
14.844, 0
14.943, 0
15.043, 0
15.143, 0
15.243, 0
15.343, 0
15.443, 0
15.543, 0
15.643, 0
15.743, 0
15.843, 0
15.943, 0
16.043, 0
16.143, 0
16.243, 0
16.343, 0
16.443, 0
16.543, 0
16.643, 0
16.743, 0
16.843, 0
16.943, 0
17.043, 0
17.143, 0
17.243, 0
17.343, 0
17.443, 0
17.543, 0
17.643, 0
17.743, 0
17.842, 0
17.942, 0
18.042, 0
18.142, 0
18.242, 0
18.342, 0
18.442, 0
18.544, 0
18.642, 0
18.742, 0
18.842, 0
18.942, 0
19.043, 0
19.142, 0
19.242, 0
19.342, 0
19.442, 0
19.543, 0
19.642, 0
19.742, 0
19.842, 0
19.942, 0
20.043, 0
20.142, 0
20.242, 0
20.342, 0
20.442, 0
20.542, 0
20.643, 0
20.742, 0
20.842, 0
20.942, 0
21.042, 0
21.143, 0
21.242, 0
21.342, 0
21.442, 0
21.542, 0
21.642, 0
21.743, 0
21.842, 0
21.942, 0
22.042, 0
22.142, 0
22.242, 0
22.342, 0
22.442, 0
22.542, 0
22.642, 0
