time, itow, lat, lon, alt, speed, accuracy
0.000, 53865680, 38.7319477, -90.2820180, 147.0317882, 0.010, 0.520
0.100, 53865780, 38.7319478, -90.2820179, 147.0169550, 0.002, 0.520
0.200, 53865880, 38.7319480, -90.2820179, 146.9990030, 0.010, 0.520
0.300, 53865980, 38.7319481, -90.2820177, 146.9872491, 0.013, 0.510
0.400, 53866080, 38.7319481, -90.2820177, 146.9833248, 0.000, 0.510
0.500, 53866180, 38.7319483, -90.2820173, 146.9660397, 0.003, 0.781
0.600, 53866280, 38.7319484, -90.2820169, 146.9440524, 0.010, 0.770
0.700, 53866380, 38.7319483, -90.2820166, 146.9277355, 0.050, 0.760
0.800, 53866480, 38.7319483, -90.2820164, 146.9095270, 0.010, 0.750
0.900, 53866580, 38.7319484, -90.2820159, 146.8947471, 0.011, 0.741
1.000, 53866679, 38.7319486, -90.2820156, 146.8704482, 0.041, 0.730
1.100, 53866779, 38.7319487, -90.2820152, 146.8525745, 0.011, 0.719
1.200, 53866879, 38.7319488, -90.2820149, 146.8387084, 0.001, 0.710
1.300, 53866979, 38.7319489, -90.2820146, 146.8205379, 0.020, 0.704
1.400, 53867079, 38.7319490, -90.2820143, 146.8012692, 0.010, 0.700
1.500, 53867179, 38.7319491, -90.2820142, 146.7837588, 0.010, 0.690
1.600, 53867279, 38.7319491, -90.2820140, 146.7719198, 0.010, 0.680
1.700, 53867379, 38.7319491, -90.2820140, 146.7608202, 0.012, 0.674
1.800, 53867479, 38.7319491, -90.2820138, 146.7355837, 0.046, 0.670
1.900, 53867579, 38.7319491, -90.2820136, 146.7195496, 0.028, 0.659
2.000, 53867680, 38.7319491, -90.2820135, 146.7072113, 0.014, 0.660
2.100, 53867780, 38.7319491, -90.2820133, 146.6954377, 0.022, 0.650
2.200, 53867880, 38.7319491, -90.2820132, 146.6852379, 0.000, 0.640
2.300, 53867980, 38.7319490, -90.2820132, 146.6766348, 0.008, 0.640
2.400, 53868080, 38.7319490, -90.2820131, 146.6586284, 0.030, 0.630
2.500, 53868180, 38.7319490, -90.2820130, 146.6515858, 0.021, 0.630
2.600, 53868280, 38.7319490, -90.2820130, 146.6367318, 0.010, 0.620
2.700, 53868380, 38.7319490, -90.2820128, 146.6314170, 0.011, 0.620
2.800, 53868480, 38.7319490, -90.2820127, 146.6225975, 0.020, 0.610
2.900, 53868580, 38.7319490, -90.2820127, 146.6085400, 0.020, 0.610
3.000, 53868679, 38.7319489, -90.2820127, 146.6101807, 0.010, 0.600
3.100, 53868779, 38.7319490, -90.2820126, 146.5936640, 0.014, 0.600
3.200, 53868879, 38.7319490, -90.2820127, 146.5869724, 0.022, 0.590
3.300, 53868979, 38.7319490, -90.2820127, 146.5884346, 0.008, 0.590
3.400, 53869079, 38.7319490, -90.2820127, 146.5726243, 0.010, 0.590
3.500, 53869179, 38.7319491, -90.2820127, 146.5638509, -0.001, 0.580
3.600, 53869279, 38.7319491, -90.2820128, 146.5573499, 0.010, 0.580
3.700, 53869379, 38.7319491, -90.2820128, 146.5533091, 0.004, 0.570
3.800, 53869479, 38.7319492, -90.2820128, 146.5492803, 0.000, 0.570
3.900, 53869579, 38.7319492, -90.2820128, 146.5404872, 0.020, 0.750
4.000, 53869679, 38.7319493, -90.2820128, 146.5335640, 0.017, 0.720
4.100, 53869779, 38.7319494, -90.2820128, 146.5211804, 0.014, 0.710
4.200, 53869879, 38.7319495, -90.2820129, 146.5104519, 0.017, 0.700
4.300, 53869979, 38.7319495, -90.2820129, 146.5024562, 0.019, 0.696
4.400, 53870079, 38.7319496, -90.2820129, 146.4945604, 0.014, 0.690
4.500, 53870179, 38.7319498, -90.2820127, 146.4929274, 0.020, 0.680
4.600, 53870279, 38.7319498, -90.2820127, 146.4852912, 0.022, 0.670
4.700, 53870379, 38.7319499, -90.2820129, 146.4832308, 0.011, 0.670
4.800, 53870479, 38.7319501, -90.2820129, 146.4747123, 0.009, 0.660
4.900, 53870579, 38.7319502, -90.2820129, 146.4730708, 0.006, 0.650
5.000, 53870679, 38.7319503, -90.2820129, 146.4713343, 0.014, 0.650
5.100, 53870779, 38.7319504, -90.2820129, 146.4674358, 0.018, 0.640
5.200, 53870879, 38.7319505, -90.2820130, 146.4620840, 0.001, 0.630
5.300, 53870979, 38.7319505, -90.2820130, 146.4622158, 0.010, 0.630
5.400, 53871079, 38.7319506, -90.2820131, 146.4605987, 0.032, 0.620
5.500, 53871179, 38.7319506, -90.2820131, 146.4542657, 0.042, 0.620
5.600, 53871279, 38.7319506, -90.2820131, 146.4542657, 0.023, 0.610
5.700, 53871379, 38.7319506, -90.2820132, 146.4498138, 0.010, 0.611
5.800, 53871479, 38.7319507, -90.2820133, 146.4449028, 0.000, 0.600
5.900, 53871579, 38.7319507, -90.2820134, 146.4500793, 0.017, 0.600
6.000, 53871680, 38.7319507, -90.2820134, 146.4450362, 0.010, 0.590
6.100, 53871780, 38.7319507, -90.2820135, 146.4389964, 0.014, 0.591
6.200, 53871880, 38.7319508, -90.2820135, 146.4372739, 0.000, 0.580
6.300, 53871980, 38.7319508, -90.2820137, 146.4380944, 0.006, 0.580
6.400, 53872080, 38.7319508, -90.2820137, 146.4232548, 0.022, 0.570
6.500, 53872180, 38.7319508, -90.2820138, 146.4232932, 0.005, 0.570
6.600, 53872280, 38.7319508, -90.2820139, 146.4233316, 0.010, 0.570
6.700, 53872380, 38.7319508, -90.2820139, 146.4161099, 0.017, 0.560
6.800, 53872480, 38.7319507, -90.2820139, 146.4030173, 0.020, 0.560
6.900, 53872580, 38.7319507, -90.2820139, 146.4030173, 0.011, 0.550
7.000, 53872680, 38.7319507, -90.2820139, 146.4030173, 0.017, 0.550
7.100, 53872779, 38.7319506, -90.2820139, 146.3895007, 0.013, 0.550
7.200, 53872879, 38.7319507, -90.2820139, 146.3814304, 0.018, 0.540
7.300, 53872979, 38.7319507, -90.2820139, 146.3774070, 0.003, 0.540
7.400, 53873079, 38.7319507, -90.2820139, 146.3749974, 0.010, 0.540
7.500, 53873179, 38.7319507, -90.2820139, 146.3671150, 0.006, 0.529
7.600, 53873279, 38.7319507, -90.2820140, 146.3608070, 0.010, 0.530
7.700, 53873379, 38.7319508, -90.2820140, 146.3529368, 0.020, 0.530
7.800, 53873479, 38.7319508, -90.2820140, 146.3452818, 0.040, 0.520
7.900, 53873579, 38.7319508, -90.2820140, 146.3452818, 0.001, 0.520
8.000, 53873681, 38.7319508, -90.2820141, 146.3312815, 0.010, 0.520
8.100, 53873781, 38.7319509, -90.2820141, 146.3297187, 0.022, 0.521
8.200, 53873881, 38.7319509, -90.2820141, 146.3296188, 0.023, 0.510
8.300, 53873981, 38.7319510, -90.2820142, 146.3188106, 0.014, 0.510
8.400, 53874081, 38.7319511, -90.2820144, 146.3207781, 0.021, 0.510
8.500, 53874181, 38.7319512, -90.2820146, 146.3191628, 0.017, 0.504
8.600, 53874281, 38.7319513, -90.2820146, 146.3174205, 0.030, 0.500
8.700, 53874381, 38.7319515, -90.2820148, 146.3072040, 0.003, 0.500
8.800, 53874481, 38.7319516, -90.2820149, 146.3064525, 0.010, 0.500
8.900, 53874581, 38.7319517, -90.2820149, 146.2998335, 0.011, 0.494
9.000, 53874681, 38.7319518, -90.2820151, 146.2832080, 0.010, 0.490
9.100, 53874781, 38.7319518, -90.2820152, 146.2858456, -0.001, 0.554
9.200, 53874881, 38.7319519, -90.2820153, 146.2895975, -0.000, 0.655
9.300, 53874981, 38.7319521, -90.2820153, 146.2867408, 0.011, 0.781
9.400, 53875081, 38.7319522, -90.2820153, 146.2787519, 0.010, 0.770
9.500, 53875181, 38.7319522, -90.2820154, 146.2850427, -0.001, 0.759
9.600, 53875281, 38.7319523, -90.2820154, 146.2912995, 0.001, 0.750
9.700, 53875381, 38.7319523, -90.2820153, 146.2912745, 0.010, 0.744
9.800, 53875481, 38.7319523, -90.2820153, 146.2912611, 0.024, 0.730
9.900, 53875581, 38.7319524, -90.2820153, 146.2982980, 0.036, 0.730
10.000, 53875681, 38.7319524, -90.2820153, 146.2896221, 0.000, 0.720
10.100, 53875781, 38.7319524, -90.2820153, 146.2932348, 0.005, 0.710
10.200, 53875881, 38.7319524, -90.2820152, 146.2834220, -0.000, 0.700
10.300, 53875981, 38.7319524, -90.2820152, 146.2834220, 0.010, 0.700
10.400, 53876081, 38.7319525, -90.2820152, 146.2816628, 0.016, 0.690
10.500, 53876181, 38.7319525, -90.2820151, 146.2687596, 0.006, 0.684
10.600, 53876281, 38.7319525, -90.2820149, 146.2598628, 0.014, 0.680
10.700, 53876381, 38.7319524, -90.2820149, 146.2568322, 0.011, 0.669
10.800, 53876481, 38.7319525, -90.2820149, 146.2459603, 0.001, 0.670
10.900, 53876581, 38.7319525, -90.2820148, 146.2345223, 0.002, 0.660
11.000, 53876681, 38.7319525, -90.2820147, 146.2316508, 0.010, 0.650
11.100, 53876781, 38.7319526, -90.2820147, 146.2151771, 0.001, 0.650
11.200, 53876881, 38.7319526, -90.2820147, 146.2096643, 0.024, 0.640
11.300, 53876981, 38.7319527, -90.2820147, 146.2224018, 0.013, 0.641
11.400, 53877081, 38.7319528, -90.2820149, 146.2288970, 0.023, 0.630
11.500, 53877181, 38.7319529, -90.2820151, 146.2445970, 0.033, 0.630
11.600, 53877281, 38.7319531, -90.2820154, 146.2604098, 0.042, 0.620
11.700, 53877381, 38.7319533, -90.2820156, 146.2654898, 0.031, 0.621
11.800, 53877481, 38.7319534, -90.2820158, 146.2713391, 0.014, 0.610
11.900, 53877581, 38.7319534, -90.2820159, 146.2706827, 0.000, 0.610
12.000, 53877681, 38.7319535, -90.2820160, 146.2697952, 0.017, 0.600
12.100, 53877781, 38.7319535, -90.2820160, 146.2647224, 0.027, 0.600
12.200, 53877881, 38.7319536, -90.2820161, 146.2621131, 0.038, 0.590
12.300, 53877981, 38.7319537, -90.2820161, 146.2595163, 0.014, 0.590
12.400, 53878081, 38.7319537, -90.2820162, 146.2385924, 0.036, 0.590
12.500, 53878181, 38.7319538, -90.2820163, 146.2358313, 0.012, 0.580
12.600, 53878281, 38.7319538, -90.2820163, 146.2308069, 0.030, 0.580
12.700, 53878381, 38.7319538, -90.2820163, 146.2129465, 0.013, 0.576
